mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,41998534528.48207855,1,1
0,5,10,0,175396213321.3613892,1,1
0,5,10,0,114093986874.9385681,1,1
0,5,10,0,82746200833.39663696,1,1
0,5,10,0,35112225441.70901489,1,1
0,5,10,0,37354445964.26092529,1,1
0,5,10,0,93058747930.38491821,1,1
0,5,10,0,89520512331.59361267,1,1
0,5,10,0,122348014889.6266327,1,1
0,5,10,0,96831396652.18421936,1,1
0,5,10,0,76573288697.02441406,1,1
0,5,10,0,75233683062.54394531,1,1
0,5,10,0,55178532534.35472107,1,1
0,5,10,0,88990658958.87374878,1,1
0,5,10,0,51335304862.04927826,1,1
0,5,10,0,56743373158.06544495,1,1
0,5,10,0,133626221468.5483246,1,1
0,5,10,0,52741267080.60139465,1,1
0,5,10,0,53461279379.50531006,1,1
0,5,10,0,75858578450.51818848,1,1
0,5,10,0,96481489121.10906982,1,1
0,5,10,0,76562314715.56011963,1,1
0,5,10,0,82092847384.16700745,1,1
0,5,10,0,103540216108.7865906,1,1
0,5,10,0,119618621738.3906708,1,1
0,5,10,0,84762068973.76031494,1,1
0,5,10,0,97475381611.36158752,1,1
0,5,10,0,96413037320.4261322,1,1
0,5,10,0,38637857315.98737335,1,1
0,5,10,0,114000558171.9310303,1,1
0,5,10,0,89306263130.32470703,1,1
0,5,10,0,44199232773.52326202,1,1
0,5,10,0,95969447946.56286621,1,1
0,5,10,0,113689769925.8893433,1,1
0,5,10,0,67599971471.54692841,1,1
0,5,10,0,93324280455.37794495,1,1
0,5,10,0,89357146365.00231934,1,1
0,5,10,0,84568883266.32102966,1,1
0,5,10,0,54467659767.3822937,1,1
0,5,10,0,62930096558.21811676,1,1
0,5,10,0,129714513166.6048126,1,1
0,5,10,0,55352917688.21100616,1,1
0,5,10,0,114335781953.2334442,1,1
0,5,10,0,41038460182.48860168,1,1
0,5,10,0,105480936294.4938812,1,1
0,5,10,0,95676858540.95344543,1,1
0,5,10,0,68403039210.52168274,1,1
0,5,10,0,137678782710.739624,1,1
0,5,10,0,28895799071.69748306,1,1
0,5,10,0,34943419470.79963684,1,1
0,5,20,0,80962402753.10784912,1,1
0,5,20,0,133279395988.232605,1,1
0,5,20,0,106931163760.130127,1,1
0,5,20,0,66195358040.27701569,1,1
0,5,20,0,91571810887.19595337,1,1
0,5,20,0,127190298456.6448517,1,1
0,5,20,0,53026420386.90818024,1,1
0,5,20,0,73532725258.33883667,1,1
0,5,20,0,65644345780.04489136,1,1
0,5,20,0,78807905386.70628357,1,1
0,5,20,0,78381195226.11813354,1,1
0,5,20,0,63417480334.1046524,1,1
0,5,20,0,99297926987.90301514,1,1
0,5,20,0,96654689829.19306946,1,1
0,5,20,0,45536602320.07600403,1,1
0,5,20,0,77211420230.51689148,1,1
0,5,20,0,125114507636.5230865,1,1
0,5,20,0,96323483606.35458374,1,1
0,5,20,0,36175606561.56142426,1,1
0,5,20,0,105517024597.6300812,1,1
0,5,20,0,60418403265.84838104,1,1
0,5,20,0,66919776031.71032715,1,1
0,5,20,0,56736484583.61210632,1,1
0,5,20,0,93889570100.12634277,1,1
0,5,20,0,133527170869.5699615,1,1
0,5,20,0,73044839014.49665833,1,1
0,5,20,0,95790127067.82832336,1,1
0,5,20,0,99292823746.95526123,1,1
0,5,20,0,57584786884.13749695,1,1
0,5,20,0,48832418451.81685638,1,1
0,5,20,0,54256333019.94460297,1,1
0,5,20,0,87361833342.30332947,1,1
0,5,20,0,51365379211.38221741,1,1
0,5,20,0,102361123580.6555023,1,1
0,5,20,0,60144906054.06095123,1,1
0,5,20,0,110097079351.3058472,1,1
0,5,20,0,153881165733.2790222,1,1
0,5,20,0,67307280025.27993011,1,1
0,5,20,0,92029666939.47668457,1,1
0,5,20,0,76539381721.71516418,1,1
0,5,20,0,103463472427.3839264,1,1
0,5,20,0,80796117623.68110657,1,1
0,5,20,0,77707305367.23477173,1,1
0,5,20,0,94782643744.97738647,1,1
0,5,20,0,88394068924.65600586,1,1
0,5,20,0,151558729243.5459595,1,1
0,5,20,0,71109628126.60972595,1,1
0,5,20,0,161170003053.1159973,1,1
0,5,20,0,73392512395.98092651,1,1
0,5,20,0,96519810012.74986267,1,1
0,5,30,0,100078374660.8851013,1,0.933333
0,5,30,0,145128733658.79599,1,1
0,5,30,0,205203055455.82547,1,1
0,5,30,0,110222109958.9388885,1,1
0,5,30,0,70845723532.7253418,1,1
0,5,30,0,95578572164.9335022,1,1
0,5,30,0,144234396676.0785217,1,1
0,5,30,0,100815444556.6121979,1,1
0,5,30,0,148365701738.9708862,1,1
0,5,30,0,111921406971.5088654,1,1
0,5,30,0,126355901594.362854,1,1
0,5,30,0,127256156170.6874695,1,1
0,5,30,0,106111399926.1728058,1,1
0,5,30,0,102526824758.7154083,1,1
0,5,30,0,127587217727.8132629,1,1
0,5,30,0,115959436061.5047302,1,1
0,5,30,0,134139698149.7462463,1,0.966667
0,5,30,0,127106392964.1617584,1,1
0,5,30,0,156586926898.4559631,1,1
0,5,30,0,77783697707.15428162,1,1
0,5,30,0,133319960568.0122528,1,1
0,5,30,0,132768168997.197937,1,1
0,5,30,0,119625422343.5405426,1,1
0,5,30,0,95494283735.27384949,1,1
0,5,30,0,101189136772.017334,1,1
0,5,30,0,161516633563.4096375,1,1
0,5,30,0,218380370068.8739014,1,1
0,5,30,0,159379427615.3966064,1,1
0,5,30,0,113317463952.8338318,1,1
0,5,30,0,101321558682.9645081,1,0.933333
0,5,30,0,98758861626.45556641,1,0.933333
0,5,30,0,83077640813.96653748,1,1
0,5,30,0,121731900700.7418671,1,1
0,5,30,0,122774914432.9133759,1,1
0,5,30,0,120680899036.6554108,1,1
0,5,30,0,54043339941.26319122,1,1
0,5,30,0,124691053059.549469,1,1
0,5,30,0,107633718466.8966827,1,1
0,5,30,0,160976752974.6618652,1,1
0,5,30,0,113366482231.4685516,1,1
0,5,30,0,135011869092.3106689,1,1
0,5,30,0,144167183407.3687744,1,1
0,5,30,0,121654422701.6377258,1,1
0,5,30,0,125754295264.0283661,1,1
