mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,32443195091.50331116,1,1
0,5,10,0,45513052791.83643341,1,1
0,5,10,0,22967542507.83020401,1,1
0,5,10,0,32756397649.69685745,1,1
0,5,10,0,45332676278.3404541,1,1
0,5,10,0,54993925757.64478302,1,1
0,5,10,0,33639318046.52388382,1,1
0,5,10,0,68088632547.18335724,1,1
0,5,10,0,81110892235.82778931,1,1
0,5,10,0,22784041282.30914307,1,1
0,5,10,0,36350798662.47026825,1,1
0,5,10,0,35354485022.51925659,1,1
0,5,10,0,52076502323.8303299,1,1
0,5,10,0,66279667345.55472565,1,1
0,5,10,0,65552810673.1473999,1,1
0,5,10,0,76853224857.74110413,1,1
0,5,10,0,23333111006.12877274,1,1
0,5,10,0,48978683065.57299805,1,1
0,5,10,0,18278136081.63963318,1,1
0,5,10,0,52906922455.70938873,1,1
0,5,10,0,80253271505.61732483,1,1
0,5,10,0,65173660950.23767853,1,1
0,5,10,0,40036746027.78679657,1,1
0,5,10,0,45542530118.49686432,1,1
0,5,10,0,28664538775.56603241,1,1
0,5,10,0,59654288188.88034058,1,1
0,5,10,0,56652390535.03855896,1,1
0,5,10,0,32264986418.10677338,1,1
0,5,10,0,40400869382.47633362,1,0.9
0,5,10,0,28169759100.46116638,1,1
0,5,10,0,82301350253.4012146,1,1
0,5,10,0,44335977588.58595276,1,1
0,5,10,0,51584078647.53926849,1,1
0,5,10,0,27141423264.12878036,1,1
0,5,10,0,27447900904.32484436,1,1
0,5,10,0,27084767632.15048599,1,1
0,5,10,0,29032638633.4564476,1,1
0,5,10,0,39465802044.87574768,1,1
0,5,10,0,53750158590.28096771,1,1
0,5,10,0,66681351228.48914337,1,1
0,5,10,0,56560680837.58109283,1,1
0,5,10,0,34119814232.10899353,1,1
0,5,10,0,36503351346.56443024,1,1
0,5,10,0,43411391288.60501862,1,1
0,5,10,0,70836152417.25488281,1,1
0,5,10,0,38645741502.79602051,1,1
0,5,10,0,37639589387.16191864,1,1
0,5,10,0,28876293933.66629791,1,1
0,5,10,0,62003384315.95925903,1,1
0,5,10,0,50348926182.09473419,1,1
0,5,20,0,33834141313.43910599,1,1
0,5,20,0,41485935194.52880096,1,1
0,5,20,0,38954319204.72542572,1,1
0,5,20,0,60879739450.69372559,1,1
0,5,20,0,40933315596.26502991,1,1
0,5,20,0,34003776630.32853317,1,1
0,5,20,0,64895723636.08260345,1,1
0,5,20,0,67711850517.68715668,1,1
0,5,20,0,78657726165.84776306,1,1
0,5,20,0,88300688673.74397278,1,1
0,5,20,0,44582744974.81433868,1,1
0,5,20,0,57689629546.86640167,1,1
0,5,20,0,57814072146.66850281,1,1
0,5,20,0,87572350950.16279602,1,1
0,5,20,0,43919747327.47896576,1,1
0,5,20,0,76633354655.80764771,1,1
0,5,20,0,66703721331.17353821,1,1
0,5,20,0,62356251316.9133606,1,1
0,5,20,0,66175503886.00296783,1,1
0,5,20,0,54866341671.8035202,1,1
0,5,20,0,115230266222.7276001,1,1
0,5,20,0,87039210383.77420044,1,1
0,5,20,0,46258143485.68032074,1,1
0,5,20,0,78349448443.13192749,1,1
0,5,20,0,68826372004.15628052,1,1
0,5,20,0,84663879339.05039978,1,1
0,5,20,0,76263487080.02651978,1,1
0,5,20,0,51891296599.90316772,1,1
0,5,20,0,68157156648.89820099,1,1
0,5,20,0,44131274126.51958466,1,1
0,5,20,0,86550847203.64376831,1,1
0,5,20,0,79855904364.6448822,1,1
0,5,20,0,48348226349.94855499,1,1
0,5,20,0,74697127296.2276001,1,1
0,5,20,0,44668631264.33551788,1,1
0,5,20,0,52095256236.42778015,1,1
0,5,20,0,77185803408.17671204,1,1
0,5,20,0,132896059744.4031525,1,1
0,5,20,0,82257501871.01733398,1,1
0,5,20,0,130152083353.1504669,1,1
0,5,20,0,72076116397.94700623,1,1
0,5,20,0,51645408697.72206879,1,1
0,5,20,0,61507615070.43841553,1,1
0,5,20,0,37861397929.39714813,1,1
0,5,20,0,58310648622.11634827,1,1
0,5,20,0,61825790488.40283966,1,1
0,5,20,0,37406447379.0316925,1,1
0,5,20,0,43461507704.98806763,1,1
0,5,20,0,40644044463.00353241,1,1
0,5,20,0,68191306132.33894348,1,1
0,5,30,0,81627220621.40852356,1,1
0,5,30,0,97370396525.08685303,1,1
0,5,30,0,87029572983.18345642,1,1
0,5,30,0,80079004052.10134888,1,1
0,5,30,0,57286823220.04337311,1,1
0,5,30,0,128412785820.0998688,1,1
0,5,30,0,82547004178.66934204,1,1
0,5,30,0,117206509771.6601868,1,1
0,5,30,0,85779022483.42494202,1,1
0,5,30,0,141514931032.7133484,1,1
0,5,30,0,104760192414.7068176,1,1
0,5,30,0,100552927265.75914,1,1
0,5,30,0,86685813198.70532227,1,1
0,5,30,0,87191592562.96742249,1,1
0,5,30,0,87277944582.91706848,1,1
0,5,30,0,92017032360.64909363,1,1
0,5,30,0,94206430469.19882202,1,1
0,5,30,0,68612062785.6276474,1,1
0,5,30,0,75289293698.71009827,1,1
0,5,30,0,78050029509.65687561,1,1
0,5,30,0,89617507221.01533508,1,1
0,5,30,0,96470622673.43128967,1,1
0,5,30,0,120492791310.6038055,1,1
0,5,30,0,176308759970.4919128,1,1
0,5,30,0,80481785076.66743469,1,1
0,5,30,0,67582924720.35826111,1,1
0,5,30,0,58270794074.36299133,1,1
0,5,30,0,88633544874.04045105,1,1
0,5,30,0,99146096760.53781128,1,1
0,5,30,0,95680662130.28179932,1,1
0,5,30,0,48798039992.47740936,1,1
0,5,30,0,140359045220.9031067,1,1
0,5,30,0,54174166855.84184265,1,1
0,5,30,0,82375041993.2525177,1,1
0,5,30,0,135738543363.7249298,1,1
0,5,30,0,62304240018.44540405,1,1
0,5,30,0,116806232034.5326996,1,1
0,5,30,0,96273741639.36611938,1,1
0,5,30,0,70424675868.09602356,1,1
0,5,30,0,72967135976.2436676,1,1
0,5,30,0,81915182348.54711914,1,1
0,5,30,0,97912439959.53761292,1,1
0,5,30,0,56286826854.67951202,1,1
0,5,30,0,87352410393.76359558,1,1
