mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,131969681781.3747559,1,1
0,5,10,0,72597442441.11851501,1,1
0,5,10,0,40703037335.65055084,1,1
0,5,10,0,54501706700.32566071,1,1
0,5,10,0,107568091719.6253967,1,1
0,5,10,0,35979128423.8296051,1,1
0,5,10,0,46043718943.22899628,1,1
0,5,10,0,42323125485.16644287,1,1
0,5,10,0,48326437174.84358215,1,1
0,5,10,0,53816215438.36831665,1,1
0,5,10,0,87233231315.76594543,1,1
0,5,10,0,98039745294.7162323,1,1
0,5,10,0,70410161628.72219849,1,1
0,5,10,0,126824098700.9503021,1,1
0,5,10,0,83623272707.89141846,1,1
0,5,10,0,77834910696.94792175,1,1
0,5,10,0,189007951026.4788513,1,1
0,5,10,0,67496274864.96792603,1,1
0,5,10,0,80428703431.83032227,1,1
0,5,10,0,55040209861.29223633,1,1
0,5,10,0,35761557960.56021118,1,1
0,5,10,0,34404620632.10209656,1,1
0,5,10,0,29130554002.64394379,1,1
0,5,10,0,41756228019.4749527,1,1
0,5,10,0,25573417459.00894165,1,1
0,5,10,0,30600966501.44239807,1,1
0,5,10,0,28629872469.65525055,1,1
0,5,10,0,33639345548.99185181,1,1
0,5,10,0,26782368912.33195114,1,1
0,5,10,0,82862495262.29660034,1,1
0,5,10,0,52151625271.22074127,1,1
0,5,10,0,59815943399.64048004,1,1
0,5,10,0,57041155076.79055786,1,1
0,5,10,0,58812749933.9327774,1,1
0,5,10,0,63669819228.00904846,1,1
0,5,10,0,61098304596.41880798,1,1
0,5,10,0,69951201976.80438232,1,1
0,5,10,0,53389225213.78386688,1,1
0,5,10,0,70762676041.85295105,1,1
0,5,10,0,58406616667.96640015,1,1
0,5,10,0,109951441971.9584961,1,1
0,5,10,0,77386058323.46907043,1,1
0,5,10,0,148143199014.9364319,1,1
0,5,10,0,40252483934.79959106,1,1
0,5,10,0,62119235777.09246063,1,1
0,5,10,0,69318083411.92709351,1,1
0,5,10,0,72825658439.45635986,1,1
0,5,10,0,50481959406.03903198,1,1
0,5,10,0,91641181806.23127747,1,1
0,5,10,0,72181810533.30493164,1,1
0,5,20,0,79926554859.96029663,1,1
0,5,20,0,78188196044.55715942,1,1
0,5,20,0,70284284168.4702301,1,1
0,5,20,0,63916554830.63031006,1,1
0,5,20,0,76295197037.11676025,1,1
0,5,20,0,50425032895.09300995,1,1
0,5,20,0,48882488032.20742798,1,1
0,5,20,0,150477592531.6776733,1,1
0,5,20,0,72905631732.9912262,1,1
0,5,20,0,119283801280.4484253,1,1
0,5,20,0,90152435040.16041565,1,1
0,5,20,0,118242903354.4926758,1,1
0,5,20,0,89076555402.49588013,1,1
0,5,20,0,67291273218.81887817,1,1
0,5,20,0,82451744485.44831848,1,1
0,5,20,0,115935322994.6954803,1,1
0,5,20,0,83111661245.4447937,1,1
0,5,20,0,101472801939.3571777,1,1
0,5,20,0,100259114894.7395477,1,1
0,5,20,0,106764753777.5370483,1,1
0,5,20,0,89449805134.26527405,1,1
0,5,20,0,82401242497.64503479,1,1
0,5,20,0,95076104250.23461914,1,1
0,5,20,0,147534692226.9367065,1,1
0,5,20,0,78336942818.88580322,1,1
0,5,20,0,63621108284.75437164,1,1
0,5,20,0,103067671119.0337982,1,1
0,5,20,0,87498661976.96910095,1,1
0,5,20,0,124548585764.2412567,1,1
0,5,20,0,107771519960.1164246,1,1
0,5,20,0,86101069057.71603394,1,1
0,5,20,0,58148796966.04843903,1,1
0,5,20,0,72300128025.73764038,1,1
0,5,20,0,73073446137.31324768,1,1
0,5,20,0,82904203180.97114563,1,1
0,5,20,0,53024126651.68544006,1,1
0,5,20,0,54486701322.7372818,1,1
0,5,20,0,43293368907.97659302,1,1
0,5,20,0,62837633480.21549988,1,0.95
0,5,20,0,74746104381.97904968,1,1
0,5,20,0,88614980236.4085083,1,1
0,5,20,0,50607510151.16590118,1,1
0,5,20,0,38777401442.8875351,1,1
0,5,20,0,41723510992.87424469,1,1
0,5,20,0,46903520017.30516815,1,1
0,5,20,0,119917025851.5270081,1,1
0,5,20,0,101500180134.8453674,1,1
0,5,20,0,105391356424.3715057,1,1
0,5,20,0,117819602551.6230774,1,1
0,5,20,0,119525227276.7900391,1,1
0,5,30,0,144870227697.7156067,1,1
0,5,30,0,185809657279.8178711,1,1
0,5,30,0,107382613977.5259857,1,1
0,5,30,0,153779790901.4075317,1,1
0,5,30,0,121478313718.9867706,1,1
0,5,30,0,129573844577.324646,1,1
0,5,30,0,122279791678.9816132,1,1
0,5,30,0,110094321132.5938721,1,1
0,5,30,0,165459027526.269043,1,1
0,5,30,0,140318994922.554718,1,1
0,5,30,0,133880368947.6074524,1,1
0,5,30,0,117271765355.5193787,1,1
0,5,30,0,137165656143.4626465,1,1
0,5,30,0,102942387059.2368164,1,1
0,5,30,0,136000506156.8139496,1,1
0,5,30,0,115517919842.7641907,1,1
0,5,30,0,157333442267.9927368,1,1
0,5,30,0,145872708581.0213318,1,1
0,5,30,0,124024007093.1037292,1,1
0,5,30,0,110441438332.9599304,1,1
0,5,30,0,113979173801.8443756,1,1
0,5,30,0,137628639408.345459,1,1
0,5,30,0,159339352550.3116455,1,1
0,5,30,0,144123056010.7614746,1,1
0,5,30,0,146430593353.580658,1,1
0,5,30,0,131761310832.7469482,1,1
0,5,30,0,100893989807.7994843,1,1
0,5,30,0,125548198879.2551727,1,1
0,5,30,0,120882361353.3506012,1,1
0,5,30,0,116250476778.5604858,1,1
0,5,30,0,105101422621.6541748,1,1
0,5,30,0,143985353812.7479248,1,1
0,5,30,0,111655486506.0759277,1,1
0,5,30,0,142723615435.7556458,1,1
0,5,30,0,167087772362.9062195,1,1
0,5,30,0,113507315012.5023956,1,1
0,5,30,0,162223072419.9579773,1,1
0,5,30,0,104933781820.848114,1,1
0,5,30,0,165684769150.7020569,1,1
0,5,30,0,146443101515.6352844,1,1
0,5,30,0,135013004295.9421387,1,1
0,5,30,0,144113723009.1773071,1,1
0,5,30,0,116159863758.4873962,1,1
0,5,30,0,110578292799.2084045,1,1
