mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,2520535720175.915039,0.1,0
0,5,10,0,1851821336417.374512,0.1,0
0,5,10,0,847793473657.401001,0.3,0
0,5,10,0,3725715275030.885254,0.1,0
0,5,10,0,2813072803667.730469,0.1,0
0,5,10,0,2560862564371.533203,0,0
0,5,10,0,367949523666.4641113,0.9,0.9
0,5,10,0,358551261279.5192261,1,1
0,5,10,0,1176879448606.98291,0.3,0
0,5,10,0,2509279857564.592285,0.5,0
0,5,10,0,2272985423975.09668,0,0
0,5,10,0,3256940951833.476562,0.1,0
0,5,10,0,277047581784.9821777,1,1
0,5,10,0,172526596538.2034302,1,1
0,5,10,0,984383177370.4753418,0.1,0
0,5,10,0,665086652532.6802979,1,1
0,5,10,0,236085601313.7008667,1,1
0,5,10,0,400316589042.7848511,1,1
0,5,10,0,103818854481.8645172,1,1
0,5,10,0,220558422033.9420166,1,1
0,5,10,0,2404659527983.221191,0,0
0,5,10,0,2236699181243.545898,0.1,0
0,5,10,0,321301042414.574585,1,1
0,5,10,0,2656895792660.612305,0,0
0,5,10,0,96390682067.087677,1,1
0,5,10,0,2298163594139.016602,0,0
0,5,10,0,3089848322238.412109,0.1,0
0,5,10,0,115013887259.7733307,1,1
0,5,10,0,2453561799106.492188,0,0
0,5,10,0,74535916242.05935669,1,1
0,5,10,0,1955440547817.481201,0,0
0,5,10,0,1505703237517.929199,0.6,0
0,5,10,0,3754247141094.758301,0,0
0,5,10,0,178078828405.483551,1,1
0,5,10,0,2377018752565.140625,0,0
0,5,10,0,183374987666.5847473,1,0.9
0,5,10,0,189632035665.2744446,1,1
0,5,10,0,2818288322614.857422,0.1,0
0,5,10,0,408855379109.9078979,1,0.9
0,5,10,0,1542904286958.935547,0.9,0
0,5,10,0,2687291160921.513184,0.1,0
0,5,10,0,442127209237.9880981,0.9,0.9
0,5,10,0,3137770344295.57959,0,0
0,5,10,0,149561008564.4886475,1,1
0,5,10,0,1660700223316.588623,0.8,0
0,5,10,0,2545405937870.362793,0.1,0
0,5,10,0,3890021403271.474121,0.2,0
0,5,10,0,154350978466.4913635,1,1
0,5,10,0,2684774868859.327148,0.2,0
0,5,10,0,2681122240349.981934,0,0
0,5,10,0,4442564725007.213867,0.2,0.1
0,5,10,0,2477454109749.938965,0,0
0,5,10,0,1952271980195.255127,0,0
0,5,10,0,336249434909.00177,1,0.9
0,5,10,0,492794134823.7427368,0.9,0.9
0,5,10,0,2379501907897.043945,0.1,0
0,5,10,0,593842848954.1984863,1,1
0,5,10,0,202278767408.5280457,1,1
0,5,10,0,3491606916992.813965,0,0
0,5,10,0,1950177675209.291504,0.2,0
0,5,10,0,2538173860640.617188,0.4,0
0,5,10,0,304381616452.1170654,1,1
0,5,10,0,4363603568526.246094,0.1,0
0,5,10,0,2324532203440.899414,0,0
0,5,10,0,2989038411522.648926,0,0
0,5,10,0,3203066764151.646484,0.1,0
0,5,10,0,274962419584.5025635,1,1
0,5,10,0,2453185680059.399414,0,0
0,5,10,0,186306218986.8840027,1,1
0,5,10,0,2840825095422.662598,0.2,0
0,5,10,0,194615046015.7248535,1,1
0,5,10,0,535802414968.0331421,0.9,0.9
0,5,10,0,2547970738948.813477,0,0
0,5,10,0,1640019051910.01709,0,0
0,5,10,0,952603188864.2886963,0.1,0
0,5,10,0,1623546667051.688477,0.1,0
0,5,10,0,194683786362.51474,1,1
0,5,10,0,248648387725.2201233,1,1
0,5,10,0,4064566584053.568359,0.3,0
0,5,10,0,321451874656.0791626,1,1
0,5,10,0,2821163718042.121094,0.3,0
0,5,10,0,3936796918668.696289,0.4,0
0,5,10,0,399778217676.0228882,1,1
0,5,10,0,170885414177.3777466,1,1
0,5,10,0,150007437833.6940002,1,1
0,5,10,0,2406835114556.00293,0,0
0,5,10,0,2704056484937.382812,0.6,0
0,5,10,0,3181068389836.795898,0.1,0
0,5,10,0,230622972453.2893066,1,1
0,5,10,0,3583633860948.314453,0.2,0
0,5,10,0,2246715042756.319824,0,0
0,5,10,0,135440561080.7917633,1,1
0,5,10,0,2743743415936.62207,0.1,0
0,5,10,0,3129544537820.247559,0,0
0,5,10,0,2634488318206.686523,0,0
0,5,10,0,1669005143340.318115,0.3,0
0,5,10,0,1957404990282.026123,0.5,0
0,5,10,0,3940675242244.45752,0.6,0
0,5,10,0,3415112624390.20166,0.5,0
0,5,10,0,193660367738.8568115,1,1
0,5,20,0,2129326568225.086182,0.8,0.5
0,5,20,0,1619286462502.231689,0.1,0
0,5,20,0,1587617508075.214844,0.05,0
0,5,20,0,270766933681.5101929,1,1
0,5,20,0,577105743364.0115967,0.85,0.85
0,5,20,0,214388984968.798584,1,1
0,5,20,0,555845529546.8612061,0.65,0.65
0,5,20,0,1630367363067.703125,0.1,0
0,5,20,0,471472845894.9191284,1,1
0,5,20,0,319454640498.0100098,1,1
0,5,20,0,457162151048.4725952,1,1
0,5,20,0,459752832645.0158691,1,1
0,5,20,0,185644665845.9552917,1,0.9
0,5,20,0,259346743123.9810486,1,1
0,5,20,0,181762961879.8975525,1,1
0,5,20,0,330747049382.4036255,1,1
0,5,20,0,134805466087.3254089,1,1
0,5,20,0,125993224452.4877777,1,1
0,5,20,0,237226178228.0158691,1,1
0,5,20,0,247896684367.0474243,1,1
0,5,20,0,1655068954468.061768,0.1,0
0,5,20,0,1231379826010.443604,0.9,0.7
0,5,20,0,1748197536996.578125,0.1,0
0,5,20,0,1424817179859.647461,0.2,0
0,5,20,0,1679994961431.432617,0.1,0
0,5,20,0,1256054236710.716797,0.15,0
0,5,20,0,1829212942662.346436,0.05,0
0,5,20,0,1733618583187.551514,0.25,0
0,5,20,0,570376132881.732666,1,1
0,5,20,0,1155310951618.172607,0.3,0.05
0,5,20,0,1427190260744.272461,0.1,0
0,5,20,0,534375036061.0701294,1,0.95
0,5,20,0,305143414844.9984131,1,1
0,5,20,0,325320427908.9988403,1,1
0,5,20,0,1626051002887.373535,0.05,0.05
0,5,20,0,178641422320.5055237,1,1
0,5,20,0,334004675931.1334839,1,1
