mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,138594923800.3115234,1,0.9
0,5,10,0,134193174165.1891174,1,0.9
0,5,10,0,81509708948.38920593,1,0.9
0,5,10,0,74714725627.22290039,1,0.9
0,5,10,0,99248630843.22444153,1,1
0,5,10,0,89408288328.26641846,1,1
0,5,10,0,107697979442.709671,1,1
0,5,10,0,90016178637.89682007,1,0.9
0,5,10,0,119739944050.6478882,1,1
0,5,10,0,99061280206.47746277,1,1
0,5,10,0,79670511229.48356628,1,1
0,5,10,0,127139624414.9233398,1,1
0,5,10,0,114493638165.997345,1,1
0,5,10,0,133591005461.141449,1,0.9
0,5,10,0,117851625235.4006195,1,0.9
0,5,10,0,94692266078.43508911,1,1
0,5,10,0,100067286298.7369995,1,1
0,5,10,0,112140496501.1868286,1,0.9
0,5,10,0,97110156598.28575134,1,0.9
0,5,10,0,76753384714.92225647,1,0.9
0,5,10,0,109666075582.9439697,1,0.9
0,5,10,0,144888270449.7272949,1,1
0,5,10,0,111511152793.0213928,1,1
0,5,10,0,89530083752.38775635,1,0.9
0,5,10,0,103760800677.7081909,1,0.8
0,5,10,0,133475631437.1840668,1,1
0,5,10,0,92218431479.37133789,1,0.9
0,5,10,0,106775317260.7060852,1,1
0,5,10,0,183030818546.0234985,1,0.9
0,5,10,0,155564682222.6794739,1,0.9
0,5,10,0,104574639307.9499664,1,1
0,5,10,0,92731469908.12812805,1,1
0,5,10,0,123849668441.9224548,1,0.8
0,5,10,0,168562876588.6057739,1,1
0,5,10,0,89919101164.30102539,1,0.9
0,5,10,0,98128282792.8681488,1,1
0,5,10,0,83014274669.39338684,1,0.9
0,5,10,0,136137184310.8705444,1,0.9
0,5,10,0,122913408686.095459,1,1
0,5,10,0,125502253951.0860596,1,1
0,5,10,0,130170738143.5424652,1,0.8
0,5,10,0,86548348746.98547363,1,0.9
0,5,10,0,111123524187.6325684,1,0.9
0,5,10,0,104910937119.9662018,1,1
0,5,10,0,127810883832.8691254,1,0.9
0,5,10,0,115798914107.9459076,1,0.8
0,5,10,0,86184311097.37174988,1,0.9
0,5,10,0,113860386405.6593933,1,1
0,5,10,0,105335998317.4630432,1,1
0,5,10,0,93519423525.81454468,1,0.9
0,5,10,0,105048440082.3428497,1,1
0,5,10,0,116079841336.3401642,1,0.9
0,5,10,0,119299996149.0479736,1,1
0,5,10,0,93636731953.04168701,1,1
0,5,10,0,86891128673.0300293,1,0.7
0,5,10,0,72804847342.22724915,1,1
0,5,10,0,91378950188.05297852,1,1
0,5,10,0,124870486032.2154083,1,1
0,5,10,0,70351295533.06474304,1,0.9
0,5,10,0,81607942221.81196594,1,0.8
0,5,10,0,94342506529.80752563,1,1
0,5,10,0,91825218674.91725159,1,0.9
0,5,10,0,145082939611.1772461,1,0.9
0,5,10,0,108530011029.4493866,1,0.9
0,5,10,0,78724888682.91552734,1,1
0,5,10,0,114406029978.8572693,1,1
0,5,10,0,86850784079.47085571,1,1
0,5,10,0,97080640098.91226196,1,0.9
0,5,10,0,113280375164.3999023,1,0.9
0,5,10,0,87138442144.47697449,1,1
0,5,10,0,89775648712.45010376,1,1
0,5,10,0,64815907511.96739197,1,1
0,5,10,0,104631883939.765686,1,0.9
0,5,10,0,96072754493.81535339,1,1
0,5,10,0,116818498246.2122192,1,1
0,5,10,0,110069715810.62146,1,0.9
0,5,10,0,148827871072.0359497,1,1
0,5,10,0,108899588792.4816437,1,0.9
0,5,10,0,81574815018.79663086,1,0.9
0,5,10,0,96853485006.87767029,1,0.9
0,5,10,0,163104865979.8094177,1,0.9
0,5,10,0,202703182933.7907715,1,0.8
0,5,10,0,106331619618.6026459,1,0.9
0,5,10,0,114396982894.8894501,1,1
0,5,10,0,131778410941.6678162,1,1
0,5,10,0,98354322394.58171082,1,0.8
0,5,10,0,58458490606.36936951,1,1
0,5,10,0,99687580607.07850647,1,0.9
0,5,10,0,127333782631.4527283,1,1
0,5,10,0,103154027524.027359,1,1
0,5,10,0,118162405142.1663513,1,1
0,5,10,0,168719034588.0552063,1,1
0,5,10,0,102944991105.4542542,1,0.9
0,5,10,0,168740418488.8414001,1,0.9
0,5,10,0,63644296694.89853668,1,0.9
0,5,10,0,154523657015.504364,1,1
0,5,10,0,90223316470.34486389,1,1
0,5,10,0,97294174589.76882935,1,1
0,5,10,0,111631094025.3973694,1,0.9
0,5,10,0,80182267324.53529358,1,1
0,5,20,0,134558538697.0102081,1,0.8
0,5,20,0,142918950025.321991,1,0.9
0,5,20,0,151781528696.740387,1,0.9
0,5,20,0,140955977014.4308777,1,0.85
0,5,20,0,148560988283.2447815,1,0.85
0,5,20,0,164676014112.6511841,1,0.75
0,5,20,0,187945082848.6347961,1,0.8
0,5,20,0,174322198747.5241394,1,0.7
0,5,20,0,215022306863.0266113,1,0.95
0,5,20,0,141364460153.8615112,1,0.85
0,5,20,0,134235202663.8276672,1,0.75
0,5,20,0,153800325614.118988,1,0.8
0,5,20,0,158027359351.6365051,1,0.85
0,5,20,0,143943588553.0979614,1,0.9
0,5,20,0,161512941975.0247803,1,0.85
0,5,20,0,179981596448.6112061,1,0.85
0,5,20,0,222191018050.3413391,1,0.65
0,5,20,0,137597028521.4243164,1,0.7
0,5,20,0,207570490048.7318115,1,0.7
0,5,20,0,165574591902.29776,1,0.9
0,5,20,0,202093625971.4679565,1,0.9
0,5,20,0,156898395401.6871948,1,0.85
0,5,20,0,190135051289.0524292,1,0.8
0,5,20,0,165521462872.8483887,1,0.75
0,5,20,0,193383739104.3919067,1,0.8
0,5,20,0,176439364342.0379944,1,0.85
0,5,20,0,163830046816.9689026,1,0.85
0,5,20,0,161808928106.5302429,1,0.8
0,5,20,0,188723271632.3279419,1,0.7
0,5,20,0,134380014364.7520905,1,0.85
0,5,20,0,202625936378.4193115,1,1
0,5,20,0,187244065330.3404236,1,0.9
0,5,20,0,149163655990.6218262,1,0.85
0,5,20,0,165181885386.8658142,1,0.8
0,5,20,0,152630441108.7926636,1,0.75
0,5,20,0,160573131914.7774658,1,0.8
