mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 3--------------------
-----------------------Scenario 0--------------------
3,5,10,0,116799039203.8993683,1,1
3,5,10,0,180075171240.3157349,1,1
3,5,10,0,123873790923.893219,1,1
3,5,10,0,170680416999.8804932,1,1
3,5,10,0,157905722956.9918823,1,1
3,5,10,0,105174522157.3837738,1,1
3,5,10,0,170254448314.7834167,1,1
3,5,10,0,196145231087.5890503,1,1
3,5,10,0,199627369944.826355,1,0.9
3,5,10,0,178102430036.0331421,1,1
3,5,10,0,126196303989.1151276,1,0.8
3,5,10,0,163243498086.6723328,1,0.9
3,5,10,0,330482687121.0377197,1,0.9
3,5,10,0,257469075589.2872925,1,1
3,5,10,0,160261440119.1393433,1,1
3,5,10,0,205222372780.9481201,1,1
3,5,10,0,128913320512.5210724,1,1
3,5,10,0,174996698064.9851685,1,1
3,5,10,0,170889868933.3736877,1,0.9
3,5,10,0,191275529666.0130005,1,0.9
3,5,10,0,145797389088.0923157,1,1
3,5,10,0,117630879935.7133942,1,0.7
3,5,10,0,142869209975.5943909,1,1
3,5,10,0,115762863980.8282318,1,0.6
3,5,10,0,157987564177.2915955,1,1
3,5,10,0,152134635078.5526123,1,0.6
3,5,10,0,137270152921.612793,1,0.9
3,5,10,0,107194440790.587326,1,1
3,5,10,0,179714298162.1981506,1,0.9
3,5,10,0,107733447212.5156555,1,1
3,5,10,0,90666641334.73114014,1,1
3,5,10,0,106807610635.6454468,1,1
3,5,10,0,242155123648.955658,1,0.9
3,5,10,0,121941453924.3522491,1,1
3,5,10,0,203694506675.0239563,1,0.8
3,5,10,0,134748235281.3914185,1,0.9
3,5,10,0,121677062720.6324158,1,0.9
3,5,10,0,102377721370.1763153,1,0.9
3,5,10,0,128116201201.7986908,1,1
3,5,10,0,66271694327.97428131,1,1
3,5,10,0,141942764691.3593445,1,0.8
3,5,10,0,172653481951.2827148,1,1
3,5,10,0,262923150937.2606812,1,0.8
3,5,10,0,169942398012.8309937,1,0.5
3,5,10,0,258474844149.2974548,1,1
3,5,10,0,279226095364.0565796,1,0.9
3,5,10,0,311181481641.0630493,1,0.9
3,5,10,0,220340815562.5057678,1,0.8
3,5,10,0,250675347201.7333984,1,1
3,5,10,0,118473908409.9980164,1,1
3,5,20,0,114201964798.0787506,1,1
3,5,20,0,93778559424.23954773,1,0.95
3,5,20,0,172391878418.8213196,1,0.95
3,5,20,0,184293067114.2479248,1,0.95
3,5,20,0,100071033349.5669098,1,1
3,5,20,0,99699082747.56137085,1,1
3,5,20,0,197729974802.4798279,1,1
3,5,20,0,120762766838.3060455,1,1
3,5,20,0,177755741979.4435425,1,0.95
3,5,20,0,100769138348.3479462,1,1
3,5,20,0,118991332550.8205719,1,1
3,5,20,0,175969019201.7727051,1,1
3,5,20,0,104701501035.9690399,1,1
3,5,20,0,166560715838.5412292,1,0.95
3,5,20,0,122371421203.6916809,1,1
3,5,20,0,95962392961.67248535,1,1
3,5,20,0,119634863304.131897,1,1
3,5,20,0,117129450340.9067688,1,1
3,5,20,0,126607720837.0774384,1,0.95
3,5,20,0,68185344461.13922119,1,1
3,5,20,0,150945191564.0645752,1,1
3,5,20,0,101209649386.8349457,1,1
3,5,20,0,156025959151.5634155,1,1
3,5,20,0,208352600127.602478,1,0.95
3,5,20,0,170970844347.1651917,1,0.95
3,5,20,0,151101665348.3294373,1,1
3,5,20,0,105698487865.2753754,1,1
3,5,20,0,164648704176.2331543,1,0.95
3,5,20,0,197326004121.2308044,1,1
3,5,20,0,110288872150.4931183,1,0.95
3,5,20,0,63765448123.02498627,1,1
3,5,20,0,332384329503.8135376,1,1
3,5,20,0,72871421004.83265686,1,1
3,5,20,0,274391794749.7745056,1,0.95
3,5,20,0,189229955987.1480713,1,1
3,5,20,0,166205263729.3275452,1,1
3,5,20,0,135822155567.0975037,1,1
3,5,20,0,201294192651.1406555,1,1
3,5,20,0,67078700945.79257965,1,0.95
3,5,20,0,88301525361.50486755,1,1
3,5,20,0,141377822873.3760376,1,1
3,5,20,0,93113510746.8097229,1,1
3,5,20,0,116996045881.4260406,1,0.95
3,5,20,0,140247222659.385376,1,1
3,5,20,0,91363588143.22175598,1,1
3,5,20,0,164738555798.7283325,1,0.95
3,5,20,0,91263232898.9596405,1,0.95
3,5,20,0,206858681402.4584045,1,1
3,5,20,0,111248201749.5878143,1,1
3,5,20,0,115807323959.6580048,1,1
3,5,30,0,81058343651.84178162,1,1
3,5,30,0,227928981696.2128906,1,1
3,5,30,0,212084984935.741394,1,1
3,5,30,0,132800607314.3747406,1,1
3,5,30,0,195441142975.8670044,1,0.933333
3,5,30,0,212030841682.5355835,1,1
3,5,30,0,92089898206.80322266,1,1
3,5,30,0,316788886583.8035278,1,0.966667
3,5,30,0,167276415817.2738037,1,1
3,5,30,0,183405191271.8888245,1,1
3,5,30,0,118836394724.7658539,1,1
3,5,30,0,133370233458.8696899,1,0.933333
3,5,30,0,113360208056.5290375,1,0.966667
3,5,30,0,147987520701.9239502,1,1
3,5,30,0,123654544556.4882507,1,1
3,5,30,0,177870814314.2901306,1,0.933333
3,5,30,0,149889307149.5797119,1,0.933333
3,5,30,0,68501467513.04070282,1,1
3,5,30,0,130799190251.4121094,1,1
3,5,30,0,118577243699.0690308,1,1
3,5,30,0,181579353061.7024536,1,1
3,5,30,0,274446352962.1481934,1,1
3,5,30,0,249904095396.1092224,1,1
3,5,30,0,152223947887.2965088,1,0.866667
3,5,30,0,133102661763.1038055,1,1
3,5,30,0,369334740688.7485352,1,1
3,5,30,0,136502241111.4431305,1,1
3,5,30,0,143274986553.2209167,1,1
3,5,30,0,161009293918.5488892,1,1
3,5,30,0,159410406654.9090881,1,0.966667
3,5,30,0,182339829881.5272217,1,1
3,5,30,0,290157347130.3301392,1,1
3,5,30,0,162093264680.4411011,1,1
3,5,30,0,173434666786.8996582,1,0.966667
3,5,30,0,113789759654.2020111,1,1
3,5,30,0,222369272602.0465393,1,1
3,5,30,0,194647594971.4021606,1,1
3,5,30,0,81041514631.24906921,1,1
3,5,30,0,193443458433.8163147,1,1
3,5,30,0,184342196334.052063,1,1
3,5,30,0,97270576127.15431213,1,1
3,5,30,0,166792756186.0723267,1,1
3,5,30,0,166260275621.2360535,1,1
3,5,30,0,66234805813.35122681,1,1
3,5,30,0,153384706035.7030029,1,1
3,5,30,0,160239475147.7278748,1,0.9
3,5,30,0,154845007254.9069214,1,0.966667
3,5,30,0,137611724831.4469299,1,0.966667
3,5,30,0,126088540608.3426056,1,0.8
3,5,30,0,117009456980.0099792,1,1
3,5,40,0,279452635986.5010376,1,1
3,5,40,0,144873647432.9416809,1,1
3,5,40,0,190383232661.3364868,1,1
3,5,40,0,231889549647.7327576,1,1
3,5,40,0,155717235918.2110901,1,1
3,5,40,0,160489237665.4457092,1,1
3,5,40,0,331387618724.1762085,1,1
3,5,40,0,173364024833.1018982,1,1
3,5,40,0,248443001065.0198975,1,0.975
3,5,40,0,182092636368.8731995,1,1
3,5,40,0,174016751537.7901917,1,1
3,5,40,0,357065402923.3140869,1,1
3,5,40,0,112623510301.3770905,1,1
3,5,40,0,153391616462.5849915,1,1
3,5,40,0,273972405947.0865479,1,1
3,5,40,0,324757604665.0466309,1,1
3,5,40,0,212829984787.7286377,1,1
3,5,40,0,146460740400.4646606,1,1
3,5,40,0,221408430663.1783142,1,1
3,5,40,0,171820702922.5912476,1,1
3,5,40,0,181211607858.5274048,1,1
3,5,40,0,251689662817.2107544,1,1
3,5,40,0,202520651395.4506836,1,1
3,5,40,0,259646383344.0299377,1,0.975
3,5,40,0,218617592398.2902832,1,1
3,5,40,0,578547194806.9163818,0.6,0.55
3,5,40,0,230760712771.7823792,1,0.925
3,5,40,0,283437358668.5006714,1,1
3,5,40,0,383549288832.9155273,1,0.975
3,5,40,0,164888065698.1435242,1,0.975
3,5,40,0,273678945928.6697998,1,0.95
3,5,40,0,261068300134.4825745,1,1
3,5,40,0,426401801695.50177,1,0.9
3,5,40,0,150633768041.4058838,1,1
3,5,40,0,270536391667.0397339,1,1
3,5,40,0,532948925896.8045654,1,1
3,5,40,0,380885329960.1113281,1,1
3,5,40,0,153645649330.5717468,1,0.975
3,5,40,0,158640783605.3062134,1,1
3,5,40,0,467199063201.3554077,0.95,0.9
3,5,40,0,386748065406.8849487,1,0.975
3,5,40,0,208948726917.8171692,1,1
3,5,40,0,434258488031.4926758,1,1
3,5,40,0,290681811998.3851318,1,1
3,5,40,0,206072560922.0345459,1,1
3,5,40,0,150180224531.9391479,1,1
3,5,40,0,503542557831.7139282,0.925,0.9
3,5,40,0,627322816089.4971924,0.5,0.425
3,5,40,0,285959957830.5390625,1,0.975
3,5,40,0,377584563369.5314331,1,1
3,5,50,0,204599205804.4191284,1,0.92
3,5,50,0,497105432259.6437378,0.58,0.5
3,5,50,0,233474046382.1513672,1,1
3,5,50,0,188564400722.2150574,1,0.96
3,5,50,0,684528242361.0673828,0.42,0.38
3,5,50,0,282825666730.7095947,1,0.98
3,5,50,0,372414078596.6173096,0.88,0.84
3,5,50,0,233513364147.8886414,1,0.88
3,5,50,0,463355579802.2581177,0.56,0.54
3,5,50,0,232183724057.9298401,1,0.98
3,5,50,0,374268756591.1244507,0.82,0.74
3,5,50,0,219400972225.7460327,1,0.98
3,5,50,0,290502609869.4230957,1,1
3,5,50,0,174673811221.5935364,1,0.94
3,5,50,0,264724676102.9891357,1,0.94
3,5,50,0,264946515387.664093,1,0.94
3,5,50,0,275376341998.6902466,1,0.96
3,5,50,0,309725584077.6376953,1,0.92
3,5,50,0,1249590661413.75415,0.22,0
3,5,50,0,676364187036.1368408,0.24,0.2
3,5,50,0,244283824604.7522278,1,0.98
3,5,50,0,820777125606.3291016,0.22,0.12
3,5,50,0,251462573796.2810364,1,0.94
3,5,50,0,169856325586.5506592,1,0.96
3,5,50,0,248521571140.853302,1,0.96
3,5,50,0,518372507801.9173584,0.56,0.5
3,5,50,0,181217972332.3884888,1,1
3,5,50,0,268079345763.7345581,1,1
3,5,50,0,303117047197.7521362,1,0.92
3,5,50,0,291631645194.0841064,1,1
3,5,50,0,320890893441.6903687,1,1
3,5,50,0,326127407390.769043,0.96,0.94
3,5,50,0,684332416690.2727051,0.18,0.1
3,5,50,0,273609178259.7174988,1,1
3,5,50,0,741899046727.722168,0.12,0.08
3,5,50,0,293002704664.9949341,1,0.96
3,5,50,0,604359256708.1915283,0.2,0.18
3,5,50,0,263159628361.3568726,1,1
3,5,50,0,314416719858.5169678,1,0.94
3,5,50,0,509911315584.8895874,0.44,0.4
3,5,50,0,392787393939.5465088,0.84,0.78
3,5,50,0,992650685908.7050781,0.02,0
3,5,50,0,193343407540.0248413,1,0.98
3,5,50,0,215808224551.059021,1,0.94
3,5,50,0,668034166969.4589844,0.2,0.2
3,5,50,0,346926687856.5878296,1,0.82
3,5,50,0,194396714703.3631592,1,0.98
3,5,50,0,202517266008.5784607,1,0.86
3,5,50,0,372871304446.5986328,0.94,0.92
3,5,50,0,215983102920.8614197,1,1
3,10,10,0,1735252557105.452148,1,0
3,10,10,0,523421065824.2810059,1,0
3,10,10,0,824458127106.1193848,1,0.7
3,10,10,0,461735813552.3497314,1,0.5
3,10,10,0,250168594884.7259521,1,0.3
3,10,10,0,155198787004.0896301,1,0
3,10,10,0,562271654187.8348389,1,0.9
3,10,10,0,375118652407.0754395,1,0.9
3,10,10,0,691841056566.9083252,1,0.1
3,10,10,0,534945858015.0363159,1,0.9
3,10,10,0,1094728773736.209717,1,0
3,10,10,0,461325708127.0251465,1,1
