mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------,,,,,
-----------------------Scenario 1--------------------,,,,,
-----------------------Noise Scenario 0--------------------,,,,,
0,0,0,129202079487.334,1,0.966667
0,0,0,125125374094.681,1,1
0,0,0,125009825335.47,1,1
0,0,0,182743769243.1,1,1
0,0,0,111588507970.117,1,1
0,0,0,120987121139.288,1,0.866667
0,0,0,111042418537.545,1,1
0,0,0,139510297213.11,1,0.866667
0,0,0,106370977591.779,1,0.933333
0,0,0,125443585450.735,1,1
0,0,0,130928679553.162,1,1
0,0,0,118988848197.759,1,1
0,0,0,134492686120.784,1,1
0,0,0,126704329374.205,1,0.966667
0,0,0,115915423687.197,1,1
0,0,0,128546878119.013,1,1
0,0,0,107144405237.054,1,0.966667
0,0,0,97328196192.3967,1,1
0,0,0,93988237131.2424,1,0.966667
0,0,0,87429593089.3669,1,0.933333
0,0,0,103006294553.404,1,1
0,0,0,102203392765.214,1,1
0,0,0,92186693287.0677,1,0.966667
0,0,0,93996241931.3049,1,1
0,0,0,73571949536.0088,1,0.866667
0,0.2,0,118573535187.377,1,0.966667
0,0.2,0,131425449135.939,1,1
0,0.2,0,109356318791.479,1,0.966667
0,0.2,0,153341490652.154,1,0.833333
0,0.2,0,127473633514.607,1,1
0,0.2,0,164593714915.185,1,1
0,0.2,0,156248999137.784,1,0.933333
0,0.2,0,123717126598.894,1,1
0,0.2,0,130133643245.49,1,1
0,0.2,0,88751534464.0685,1,0.933333
0,0.2,0,128625758107.178,1,0.8
0,0.2,0,266837945255.217,0.566667,0.433333
0,0.2,0,127911309613.668,1,0.966667
0,0.2,0,150136638426.973,1,1
0,0.2,0,140488305838.97,1,1
0,0.2,0,141621535095.389,1,1
0,0.2,0,139949155334.606,1,1
0,0.2,0,148739000528.626,1,0.933333
0,0.2,0,134200149158.187,1,1
0,0.2,0,146537284956.012,1,0.866667
0,0.2,0,112183976236.239,1,0.933333
0,0.2,0,197809730208.216,1,0.966667
0,0.2,0,122664924416.853,1,1
0,0.2,0,158039197156.008,1,1
0,0.2,0,291343287588.959,1,1
0,0.4,0,283532716817.141,1,0.933333
0,0.4,0,660091213055.288,1,0.866667
0,0.4,0,212247365494.548,1,0.866667
0,0.4,0,206528195824.966,1,1
0,0.4,0,290409342620.499,1,0.833333
0,0.4,0,242594234732.52,1,0.7
0,0.4,0,187995970331.043,1,0.866667
0,0.4,0,257806354524.475,1,1
0,0.4,0,324604197716.16,1,0.9
0,0.4,0,161785116980.667,1,0.966667
0,0.4,0,243781699491.288,1,0.766667
0,0.4,0,367678896928.07,1,0.933333
0,0.4,0,223316117727.571,1,0.966667
0,0.4,0,223026699908.398,1,0.866667
0,0.4,0,263387223090.889,1,0.766667
0,0.4,0,365431447084.289,1,1
0,0.4,0,281732023360.366,1,0.766667
0,0.4,0,324196449785.318,1,0.666667
0,0.4,0,281776084969.535,1,0.9
0,0.4,0,365707629624.99,0.633333,0.333333
0,0.4,0,230686875289.632,1,0.833333
0,0.4,0,180653939017.554,1,0.8
0,0.4,0,236434770882.074,1,0.966667
0,0.4,0,195549426402.714,1,0.9
0,0.4,0,461067192501.488,1,0.866667
0,0.6,0,4093228900774.68,0.733333,0.4
0,0.6,0,4134480844126.24,0.766667,0.633333
0,0.6,0,4135660289666.6,0.833333,0.466667
0,0.6,0,3903625933772.05,0.733333,0.5
0,0.6,0,3010401445990.81,0.766667,0.7
0,0.6,0,1914969712635.32,0.833333,0.3
0,0.6,0,2374933899715.37,0.766667,0.633333
0,0.6,0,3598365632910.42,0.733333,0.6
0,0.6,0,1842683029870.7,0.8,0.266667
0,0.6,0,2393362623193.1,0.766667,0.466667
0,0.6,0,3023055789938.6,0.833333,0.666667
0,0.6,0,2908997050607.09,0.733333,0.466667
0,0.6,0,3506467276490.15,0.766667,0.466667
0,0.6,0,3392775051886.98,0.766667,0.466667
0,0.6,0,3369890719541.25,0.7,0.533333
0,0.6,0,2685702386988.24,0.833333,0.533333
0,0.6,0,3707683272038.97,0.766667,0.466667
0,0.6,0,4845289445209.66,0.733333,0.666667
0,0.6,0,4513431407883.13,0.766667,0.266667
0,0.6,0,11851915251652.5,0.0666667,0
0,0.6,0,3254365508837.57,0.833333,0.433333
0,0.6,0,3166267067370.51,0.8,0.633333
0,0.6,0,3466498628688.23,0.8,0.5
0,0.6,0,2729721677625.67,0.766667,0.633333
