mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,41314004446.28083801,1,1
0,5,10,0,75256424276.07344055,1,1
0,5,10,0,57166693736.04691315,1,1
0,5,10,0,48962807525.9207077,1,1
0,5,10,0,121625726463.5593262,1,1
0,5,10,0,76440416185.30180359,1,1
0,5,10,0,93916124505.22285461,1,1
0,5,10,0,84246297428.37411499,1,1
0,5,10,0,54425107288.45466614,1,1
0,5,10,0,46487707088.4079895,1,1
0,5,10,0,30476718470.66920853,1,1
0,5,10,0,72651869462.77081299,1,1
0,5,10,0,28976998645.86011124,1,1
0,5,10,0,48861702399.7148819,1,1
0,5,10,0,43859706803.19107056,1,1
0,5,10,0,28797064262.69076538,1,1
0,5,10,0,117398743695.3832397,1,1
0,5,10,0,79291336639.82252502,1,1
0,5,10,0,63211571088.69995117,1,1
0,5,10,0,90486415656.43592834,1,1
0,5,10,0,100953334252.0715485,1,1
0,5,10,0,30105189068.78098297,1,1
0,5,10,0,117805732651.1895599,1,1
0,5,10,0,54002434630.79660034,1,1
0,5,10,0,77206851798.15386963,1,1
0,5,10,0,82405065226.82299805,1,1
0,5,10,0,103393128984.3119507,1,1
0,5,10,0,52716994442.1443634,1,1
0,5,10,0,98078090485.76448059,1,1
0,5,10,0,80157304687.66630554,1,1
0,5,10,0,88020387840.37287903,1,1
0,5,10,0,47367227614.23847961,1,1
0,5,10,0,42096592036.56612396,1,1
0,5,10,0,65864617800.95285797,1,1
0,5,10,0,50988586104.21942902,1,1
0,5,10,0,95789098669.49365234,1,1
0,5,10,0,96671273533.28335571,1,1
0,5,10,0,76193484294.76902771,1,1
0,5,10,0,60530514987.95256042,1,1
0,5,10,0,109943249956.1343536,1,1
0,5,10,0,89076347824.57897949,1,1
0,5,10,0,51333813838.1418457,1,1
0,5,10,0,58907041656.68227386,1,1
0,5,10,0,74104839226.83331299,1,1
0,5,10,0,140021555042.8163452,1,1
0,5,10,0,52296645927.66049194,1,1
0,5,10,0,35575124971.92604065,1,1
0,5,10,0,34184467244.70784378,1,1
0,5,10,0,43436535730.50266266,1,1
0,5,10,0,45586317654.32969666,1,1
0,5,20,0,95341189864.94010925,1,1
0,5,20,0,74946149047.49223328,1,1
0,5,20,0,136095154863.4068756,1,1
0,5,20,0,99679663229.56642151,1,1
0,5,20,0,90511150620.43322754,1,1
0,5,20,0,69515828975.40620422,1,1
0,5,20,0,53815351078.81475067,1,1
0,5,20,0,73226034789.69500732,1,1
0,5,20,0,86465346063.12127686,1,1
0,5,20,0,76248941835.51049805,1,1
0,5,20,0,62424922234.34221649,1,1
0,5,20,0,178572211697.9184265,1,1
0,5,20,0,78528860367.24438477,1,1
0,5,20,0,93334787950.8105011,1,1
0,5,20,0,83385524927.4546814,1,1
0,5,20,0,85503230727.69311523,1,1
0,5,20,0,84330185606.99046326,1,1
0,5,20,0,91768369020.19700623,1,1
0,5,20,0,62584215989.22132111,1,1
0,5,20,0,52893718107.96618652,1,1
0,5,20,0,72330858578.93237305,1,1
0,5,20,0,114636738942.9676819,1,1
0,5,20,0,107372933443.0917053,1,1
0,5,20,0,108911844711.1753387,1,1
0,5,20,0,86602583486.29440308,1,1
0,5,20,0,91595505876.31958008,1,1
0,5,20,0,52695632643.47029877,1,1
0,5,20,0,60503916127.27750397,1,1
0,5,20,0,75194383299.35714722,1,1
0,5,20,0,83754343812.56604004,1,1
0,5,20,0,73633751279.74577332,1,1
0,5,20,0,66154949289.42572784,1,1
0,5,20,0,48186316950.70956421,1,1
0,5,20,0,158873516179.2783813,1,1
0,5,20,0,188795203260.4577942,1,1
0,5,20,0,76145551213.2878418,1,1
0,5,20,0,73690623374.30688477,1,1
0,5,20,0,113784947438.5584412,1,1
0,5,20,0,53764342227.66938782,1,1
0,5,20,0,140905793360.7096863,1,1
0,5,20,0,84934491128.89871216,1,1
0,5,20,0,180010669390.549469,1,1
0,5,20,0,77424293326.83908081,1,1
0,5,20,0,61133590605.52757263,1,1
0,5,20,0,106701153577.3429871,1,1
0,5,20,0,75757671191.86126709,1,1
0,5,20,0,86079386486.22216797,1,1
0,5,20,0,42743043514.01163483,1,1
0,5,20,0,111323849620.9302063,1,1
0,5,20,0,97395183264.16355896,1,1
0,5,30,0,153804157161.721405,1,1
0,5,30,0,134161931972.5891571,1,1
0,5,30,0,96872026438.01194763,1,1
0,5,30,0,134268107640.967926,1,1
0,5,30,0,95623419454.66529846,1,1
0,5,30,0,161647077234.3256531,1,0.966667
0,5,30,0,91293142824.57019043,1,0.966667
0,5,30,0,131572827193.9138184,1,1
0,5,30,0,127656118373.9789886,1,1
0,5,30,0,160634291873.5641174,1,1
0,5,30,0,99933248648.04447937,1,1
0,5,30,0,110477436145.5274963,1,1
0,5,30,0,99522465596.9289856,1,1
0,5,30,0,140133500798.1581726,1,0.966667
0,5,30,0,75491736787.49603271,1,1
0,5,30,0,101932921612.1667938,1,1
0,5,30,0,73264254197.82037354,1,1
0,5,30,0,100310435602.9719696,1,0.966667
0,5,30,0,109240923149.1726074,1,1
0,5,30,0,126828386978.401123,1,1
0,5,30,0,127766317328.4226532,1,0.966667
0,5,30,0,115029738282.9227448,1,0.966667
0,5,30,0,116639227380.3022766,1,1
0,5,30,0,75833799219.68699646,1,1
0,5,30,0,116625262918.4946899,1,1
0,5,30,0,94847384811.24845886,1,0.966667
0,5,30,0,105595980860.7232208,1,1
0,5,30,0,149090744473.0759277,1,1
0,5,30,0,207324714283.6271667,1,1
0,5,30,0,104649585357.6247711,1,1
0,5,30,0,118352644000.000351,1,1
0,5,30,0,122985530724.7692261,1,1
0,5,30,0,222929280860.6715393,1,1
0,5,30,0,147651608596.7430115,1,1
0,5,30,0,107982335852.1053772,1,1
0,5,30,0,133001814761.0998688,1,1
0,5,30,0,171607527761.8769531,1,1
0,5,30,0,139204649625.7264099,1,1
0,5,30,0,142959144777.9694214,1,0.966667
0,5,30,0,134670831550.5535736,1,1
0,5,30,0,93819684400.85084534,1,1
0,5,30,0,121747539768.2736664,1,1
0,5,30,0,126198772751.1647644,1,1
