mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 1--------------------
-----------------------Scenario 0--------------------
1,5,10,0,7765005004648.307617,0.7,0.4
1,5,10,0,7005271374599.515625,0.6,0.2
1,5,10,0,9854161354398.787109,0.6,0.4
1,5,10,0,16614414152945.21875,0.5,0.4
1,5,10,0,13374900309319.88672,0.7,0.5
1,5,10,0,15152139623218.70898,0.6,0.2
1,5,10,0,9062749133123.083984,0.7,0.5
1,5,10,0,30239679690090.75,0.3,0.1
1,5,10,0,10139828814583.11133,0.7,0.3
1,5,10,0,7589073258488.048828,0.7,0.4
1,5,10,0,11195479111845.16797,0.7,0.5
1,5,10,0,5924534251699.238281,0.7,0.5
1,5,10,0,9985918062296.072266,0.6,0.5
1,5,10,0,10399183272545.74219,0.7,0.1
1,5,10,0,9872932498855.185547,0.7,0.6
1,5,10,0,7113691938388.936523,0.7,0.5
1,5,10,0,9209380177893.146484,0.7,0.5
1,5,10,0,9321232233081.232422,0.8,0.5
1,5,10,0,14700162795547.52734,0.5,0
1,5,10,0,7662188466032.432617,0.8,0.4
1,5,10,0,13122557693611.19531,0.7,0.7
1,5,10,0,17021653726175.05859,0.5,0.1
1,5,10,0,17397260519139.19922,0.4,0.1
1,5,10,0,17237461026222.1543,0.6,0.5
1,5,10,0,8665688396312.927734,0.7,0.4
1,5,10,0,13760090745352.4082,0.6,0.5
1,5,10,0,8858768705059.171875,0.7,0.5
1,5,10,0,8110578472316.963867,0.7,0.3
1,5,10,0,23520291832851.98438,0.3,0
1,5,10,0,10425168807925.73047,0.6,0.4
1,5,10,0,12667873975319.28516,0.7,0.2
1,5,10,0,12624197939003.73242,0.6,0.2
1,5,10,0,11596547034224.70117,0.7,0.3
1,5,10,0,15397574757329.22656,0.4,0.3
1,5,10,0,10543534934491.80664,0.7,0.4
1,5,10,0,8454013171624.19043,0.8,0.4
1,5,10,0,5953558022945.777344,0.7,0.5
1,5,10,0,16189315982301.27148,0.6,0
1,5,10,0,14624004712636.62891,0.5,0.1
1,5,10,0,9108579276767.175781,0.7,0.6
1,5,10,0,10247029609870.57617,0.7,0.4
1,5,10,0,15151158649829.60938,0.7,0.4
1,5,10,0,17835613906609.61719,0.4,0.1
1,5,10,0,7102275229807.183594,0.8,0.7
1,5,10,0,22357543622662.61328,0.3,0
1,5,10,0,17509048524572.30078,0.4,0.2
1,5,10,0,12957713162190.38477,0.7,0.4
1,5,10,0,9161446726912.572266,0.7,0.4
1,5,10,0,15541544071304.70898,0.6,0.4
1,5,10,0,15708078406430.16016,0.6,0
1,5,20,0,7567912865992.661133,0.8,0.75
1,5,20,0,15061140719124.01172,0.35,0.35
1,5,20,0,6360319455342.90918,0.85,0.8
1,5,20,0,6311733045209.352539,0.8,0.75
1,5,20,0,13316204616294.92773,0.2,0.15
1,5,20,0,9167504024783.558594,0.4,0.3
1,5,20,0,6768431717352.493164,0.8,0.65
1,5,20,0,9338066070121.539062,0.2,0
1,5,20,0,8716193313908.25,0.65,0.5
1,5,20,0,4114210668352.220215,0.9,0.75
1,5,20,0,12146591888136.01367,0.45,0.4
1,5,20,0,10789007064303.40625,0.4,0.35
1,5,20,0,12855828717944.8457,0.25,0.1
1,5,20,0,4856954274487.422852,0.8,0.7
1,5,20,0,8381953900289.524414,0.35,0
1,5,20,0,15383106918502.48242,0.25,0.2
1,5,20,0,6298733004943.710938,0.75,0.5
1,5,20,0,8309059700510.500977,0.5,0.4
1,5,20,0,14434932733536.62109,0.2,0
1,5,20,0,3578189576747.287598,0.85,0.65
1,5,20,0,14725368856732.50977,0.4,0.2
1,5,20,0,4121005988474.514648,0.95,0.8
1,5,20,0,14456968719559.58008,0.2,0
1,5,20,0,6249307356874.567383,0.7,0.7
1,5,20,0,5637943227648.290039,0.75,0.55
1,5,20,0,10142717540079.54492,0.4,0.15
1,5,20,0,5554133336040.978516,0.9,0.85
1,5,20,0,17890883671118.38281,0.15,0.1
1,5,20,0,12467673399709.99609,0.25,0.2
1,5,20,0,14623399332356.10742,0.15,0.1
1,5,20,0,13031259804163.98047,0.35,0.05
1,5,20,0,13029367308478.19336,0.4,0.05
1,5,20,0,11648145055489.98047,0.2,0.05
1,5,20,0,10104446474804.45312,0.75,0.65
1,5,20,0,5964276093448.275391,0.85,0.8
1,5,20,0,3488324462770.568359,0.85,0.8
1,5,20,0,3763748368250.724609,0.85,0.6
1,5,20,0,11616921826863.28125,0.35,0.05
1,5,20,0,12035958116605.37305,0.65,0.45
1,5,20,0,3870622664403.739258,0.85,0.7
1,5,20,0,11235896041682.08789,0.4,0.1
1,5,20,0,9790298278008.576172,0.4,0.05
1,5,20,0,13643407787847.02344,0.25,0
1,5,20,0,7997641622121.081055,0.7,0.6
1,5,20,0,6161116005102.424805,0.9,0.8
1,5,20,0,7756064017264.75,0.45,0.45
1,5,20,0,4531096693856.265625,0.8,0.75
1,5,20,0,4592375550576.625,0.85,0.8
1,5,20,0,9863700574897.296875,0.3,0.05
1,5,20,0,13722022995310.13477,0.2,0
1,5,30,0,9593371807628.324219,0.2,0.166667
1,5,30,0,5958405894635.068359,0.633333,0.566667
