mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,66254615064.74867249,1,1
0,5,10,0,51704809883.32367706,1,1
0,5,10,0,106889048780.6506653,1,1
0,5,10,0,74459587673.83666992,1,1
0,5,10,0,63984074160.27030182,1,1
0,5,10,0,91982389376.26596069,1,1
0,5,10,0,130851184145.8531494,1,1
0,5,10,0,63551966778.94182587,1,1
0,5,10,0,35997340177.92449188,1,1
0,5,10,0,93317843582.86990356,1,1
0,5,10,0,94785933497.23599243,1,1
0,5,10,0,130804433458.029068,1,1
0,5,10,0,45582302260.06749725,1,1
0,5,10,0,163159035600.0842285,1,1
0,5,10,0,114050026039.5539856,1,1
0,5,10,0,108156182440.7752533,1,1
0,5,10,0,70951011602.40077209,1,1
0,5,10,0,99585621456.48477173,1,1
0,5,10,0,124283159054.3283691,1,1
0,5,10,0,55396340381.02063751,1,1
0,5,10,0,50424637511.52084351,1,1
0,5,10,0,63059682256.87975311,1,1
0,5,10,0,104204861710.376709,1,1
0,5,10,0,70896694396.35914612,1,1
0,5,10,0,44256254751.13101959,1,1
0,5,10,0,83312704686.78060913,1,1
0,5,10,0,180643648570.9749146,1,1
0,5,10,0,40791632450.05483246,1,1
0,5,10,0,70944113139.81309509,1,1
0,5,10,0,70469071290.05587769,1,1
0,5,10,0,38684816087.95297241,1,1
0,5,10,0,75519166032.39355469,1,1
0,5,10,0,101271866024.1350555,1,1
0,5,10,0,125641589541.7523956,1,1
0,5,10,0,88207548457.97210693,1,1
0,5,10,0,68985157294.87815857,1,1
0,5,10,0,92455665480.03070068,1,1
0,5,10,0,124250796485.8644257,1,1
0,5,10,0,56132871002.8003006,1,1
0,5,10,0,39311856059.89389801,1,1
0,5,10,0,48547336564.86500549,1,1
0,5,10,0,121495855072.9923553,1,1
0,5,10,0,52780671353.81690216,1,1
0,5,10,0,42661444297.15599823,1,1
0,5,10,0,43877453919.62663269,1,1
0,5,10,0,33629831087.90779877,1,1
0,5,10,0,51614828391.82386017,1,1
0,5,10,0,109753537014.0384521,1,1
0,5,10,0,99514899579.12992859,1,1
0,5,10,0,82437697462.28701782,1,1
0,5,20,0,87034547504.71488953,1,1
0,5,20,0,96303479104.98551941,1,1
0,5,20,0,63364170810.8106842,1,1
0,5,20,0,67449930667.74979401,1,1
0,5,20,0,48239880389.9759903,1,1
0,5,20,0,81035576782.80010986,1,1
0,5,20,0,74463762668.73841858,1,1
0,5,20,0,67779531364.06868744,1,1
0,5,20,0,91259534363.97409058,1,1
0,5,20,0,74161399137.94902039,1,1
0,5,20,0,130478979894.6491089,1,1
0,5,20,0,115360259815.4279633,1,1
0,5,20,0,115309136706.2538605,1,1
0,5,20,0,91696961934.76765442,1,1
0,5,20,0,128726138884.8265991,1,1
0,5,20,0,65787974023.84702301,1,1
0,5,20,0,66203127395.33328247,1,1
0,5,20,0,90613615625.81599426,1,1
0,5,20,0,125551014656.2911682,1,1
0,5,20,0,105889665308.7049103,1,1
0,5,20,0,68342567958.89243317,1,1
0,5,20,0,61888727446.78164673,1,1
0,5,20,0,37782128326.02062225,1,1
0,5,20,0,73818634851.15759277,1,1
0,5,20,0,59654052443.41941833,1,1
0,5,20,0,67767624813.38146973,1,1
0,5,20,0,78934635100.65022278,1,1
0,5,20,0,49820049452.94230652,1,1
0,5,20,0,51741072585.07524109,1,1
0,5,20,0,108473366859.6205597,1,1
0,5,20,0,65000149288.4797287,1,1
0,5,20,0,105933776729.2154388,1,1
0,5,20,0,70483120365.18092346,1,1
0,5,20,0,111780345050.3777313,1,1
0,5,20,0,59507963049.26005554,1,1
0,5,20,0,86990740626.722229,1,1
0,5,20,0,73109942719.89031982,1,1
0,5,20,0,74502391089.54405212,1,1
0,5,20,0,64325882304.64655304,1,1
0,5,20,0,93315942444.65077209,1,1
0,5,20,0,40649878305.1917572,1,1
0,5,20,0,124373989202.3452454,1,1
0,5,20,0,46004372282.70485687,1,1
0,5,20,0,168649244121.4776917,1,1
0,5,20,0,111402805437.9246521,1,1
0,5,20,0,68255537844.43941498,1,1
0,5,20,0,67480967487.59572601,1,1
0,5,20,0,44440658354.32535553,1,1
0,5,20,0,51975869111.61958313,1,1
0,5,20,0,93981224758.23838806,1,1
0,5,30,0,115399491291.0030365,1,1
0,5,30,0,94645549958.89932251,1,1
0,5,30,0,133261046949.949173,1,1
0,5,30,0,82571016148.07266235,1,1
0,5,30,0,135839096614.1447449,1,1
0,5,30,0,106436439371.6964722,1,1
0,5,30,0,187675833189.4828796,1,1
0,5,30,0,119777715248.1676331,1,1
0,5,30,0,99363295296.43060303,1,1
0,5,30,0,82690135837.73646545,1,1
0,5,30,0,89446406892.20666504,1,1
0,5,30,0,185426000735.2719421,1,1
0,5,30,0,136665600004.3981323,1,1
0,5,30,0,98267432137.36752319,1,1
0,5,30,0,128770309013.6075592,1,1
0,5,30,0,142536057310.3300171,1,1
0,5,30,0,205554872888.0368347,1,1
0,5,30,0,135140615092.3139801,1,1
0,5,30,0,147178863910.2276306,1,1
0,5,30,0,146355293636.3887329,1,1
0,5,30,0,84879916449.43180847,1,1
0,5,30,0,92792008780.02952576,1,1
0,5,30,0,156047249480.3311157,1,1
0,5,30,0,221718647426.2236023,1,1
0,5,30,0,57731062949.59940338,1,1
0,5,30,0,235984877036.2363892,1,1
0,5,30,0,95693163892.01750183,1,1
0,5,30,0,126333390059.3916779,1,1
0,5,30,0,117249486281.3874512,1,1
0,5,30,0,147916479536.6817322,1,1
0,5,30,0,63146045001.58029175,1,1
0,5,30,0,160225123591.2748413,1,1
0,5,30,0,198307208438.9289856,1,1
0,5,30,0,160840006491.9990234,1,1
0,5,30,0,111675539569.7456512,1,0.933333
0,5,30,0,114064813568.2646637,1,1
0,5,30,0,151693629031.3642273,1,1
0,5,30,0,119797373837.0037231,1,0.966667
0,5,30,0,122592040601.8205566,1,1
0,5,30,0,133014593478.53862,1,1
0,5,30,0,206531781058.9949341,1,1
0,5,30,0,111575872000.550354,1,1
0,5,30,0,127588103835.7353363,1,1
0,5,30,0,152096384285.2132568,1,1
