mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 0--------------------
0,0,0,129202079487.3336792,1,0.966667
0,0,0,125125374094.6808472,1,1
0,0,0,125009825335.4700012,1,1
0,0,0,182743769243.099884,1,1
0,0,0,111588507970.1173859,1,1
0,0,0,120987121139.287796,1,0.866667
0,0,0,111042418537.5447388,1,1
0,0,0,139510297213.1098938,1,0.866667
0,0,0,106370977591.7789612,1,0.933333
0,0,0,125443585450.7346191,1,1
0,0,0,130928679553.1618652,1,1
0,0,0,118988848197.7587891,1,1
0,0,0,134492686120.7839355,1,1
0,0,0,126704329374.2048492,1,0.966667
0,0,0,115915423687.1972046,1,1
0,0,0,128546878119.0126648,1,1
0,0,0,107144405237.0540466,1,0.966667
0,0,0,97328196192.39672852,1,1
0,0,0,93988237131.24240112,1,0.966667
0,0,0,87429593089.36694336,1,0.933333
0,0,0,103006294553.4042664,1,1
0,0,0,102203392765.213913,1,1
0,0,0,92186693287.06773376,1,0.966667
0,0,0,93996241931.3049469,1,1
0,0,0,73571949536.00881958,1,0.866667
0,0.2,0,118573535187.3768768,1,0.966667
0,0.2,0,131425449135.9389954,1,1
0,0.2,0,109356318791.4785309,1,0.966667
0,0.2,0,153341490652.1542053,1,0.833333
0,0.2,0,127473633514.6067657,1,1
0,0.2,0,164593714915.1853943,1,1
0,0.2,0,156248999137.783905,1,0.933333
0,0.2,0,123717126598.8940735,1,1
0,0.2,0,130133643245.4897766,1,1
0,0.2,0,88751534464.06848145,1,0.933333
0,0.2,0,128625758107.1780853,1,0.8
0,0.2,0,266837945255.2168884,0.566667,0.433333
0,0.2,0,127911309613.668457,1,0.966667
0,0.2,0,150136638426.9732056,1,1
0,0.2,0,140488305838.9701233,1,1
0,0.2,0,141621535095.3892517,1,1
0,0.2,0,139949155334.6062317,1,1
0,0.2,0,148739000528.6257629,1,0.933333
0,0.2,0,134200149158.1868439,1,1
0,0.2,0,146537284956.0121765,1,0.866667
0,0.2,0,112183976236.2392273,1,0.933333
0,0.2,0,197809730208.2157898,1,0.966667
0,0.2,0,122664924416.852951,1,1
0,0.2,0,158039197156.0081177,1,1
0,0.2,0,291343287588.9590454,1,1
0,0.4,0,283532716817.1407471,1,0.933333
0,0.4,0,660091213055.2880859,1,0.866667
0,0.4,0,212247365494.5479431,1,0.866667
0,0.4,0,206528195824.9663086,1,1
0,0.4,0,290409342620.4992065,1,0.833333
0,0.4,0,242594234732.519989,1,0.7
0,0.4,0,187995970331.043335,1,0.866667
0,0.4,0,257806354524.4753113,1,1
0,0.4,0,324604197716.1600952,1,0.9
0,0.4,0,161785116980.66745,1,0.966667
0,0.4,0,243781699491.2883301,1,0.766667
0,0.4,0,367678896928.0695801,1,0.933333
0,0.4,0,223316117727.5714111,1,0.966667
0,0.4,0,223026699908.3979492,1,0.866667
0,0.4,0,263387223090.8891602,1,0.766667
0,0.4,0,365431447084.2886963,1,1
0,0.4,0,281732023360.366333,1,0.766667
0,0.4,0,324196449785.317749,1,0.666667
0,0.4,0,281776084969.534668,1,0.9
0,0.4,0,365707629624.9904175,0.633333,0.333333
0,0.4,0,230686875289.632019,1,0.833333
0,0.4,0,180653939017.5537415,1,0.8
0,0.4,0,236434770882.0742493,1,0.966667
0,0.4,0,195549426402.7138367,1,0.9
0,0.4,0,461067192501.4884644,1,0.866667
0,0.6,0,4093228900774.682129,0.733333,0.4
0,0.6,0,4134480844126.240234,0.766667,0.633333
0,0.6,0,4135660289666.603516,0.833333,0.466667
0,0.6,0,3903625933772.04834,0.733333,0.5
0,0.6,0,3010401445990.811035,0.766667,0.7
0,0.6,0,1914969712635.316895,0.833333,0.3
0,0.6,0,2374933899715.366211,0.766667,0.633333
0,0.6,0,3598365632910.421387,0.733333,0.6
0,0.6,0,1842683029870.696777,0.8,0.266667
0,0.6,0,2393362623193.104492,0.766667,0.466667
0,0.6,0,3023055789938.595215,0.833333,0.666667
0,0.6,0,2908997050607.091797,0.733333,0.466667
0,0.6,0,3506467276490.147461,0.766667,0.466667
0,0.6,0,3392775051886.982422,0.766667,0.466667
0,0.6,0,3369890719541.250488,0.7,0.533333
0,0.6,0,2685702386988.239746,0.833333,0.533333
0,0.6,0,3707683272038.96875,0.766667,0.466667
0,0.6,0,4845289445209.65918,0.733333,0.666667
0,0.6,0,4513431407883.132812,0.766667,0.266667
