mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 0--------------------
0,0,0,230884744639.259613,1,0.966667
0,0,0,148762305226.9281311,1,0.966667
0,0,0,92714472065.30407715,1,0.933333
0,0,0,93273872568.19892883,1,0.966667
0,0,0,93359578900.69213867,1,0.966667
0,0,0,116050399068.9328156,1,1
0,0,0,136738129663.1281586,1,1
0,0,0,92557311593.0307312,1,1
0,0,0,91948825416.38578796,1,0.966667
0,0,0,97910979132.06886292,1,1
0,0,0,67186958666.77878571,1,1
0,0,0,90941979064.97674561,1,0.966667
0,0,0,84182546889.48297119,1,0.966667
0,0,0,89839860560.86390686,1,1
0,0,0,89899086858.19955444,1,0.966667
0,0,0,114868130736.7593231,1,1
0,0,0,76850163711.40530396,1,0.966667
0,0,0,111883851485.7131195,1,0.933333
0,0,0,109000149499.2621002,1,1
0,0,0,102459982391.0343933,1,1
0,0,0,112126056781.442276,1,0.966667
0,0,0,90513596962.23080444,1,0.966667
0,0,0,109281338655.0199738,1,1
0,0,0,83913938270.21377563,1,1
0,0,0,114198322020.666748,1,0.933333
0,0.2,0,149629004262.6837463,1,1
0,0.2,0,162059713477.5441589,1,0.933333
0,0.2,0,127432945118.8926544,1,0.933333
0,0.2,0,149354242138.6980591,1,1
0,0.2,0,174574479135.1263733,1,0.966667
0,0.2,0,120906411972.7958984,1,1
0,0.2,0,147692845097.1116943,1,1
0,0.2,0,106578993065.0569458,1,0.966667
0,0.2,0,118391871143.8877411,1,0.933333
0,0.2,0,117045724666.1792603,1,0.933333
0,0.2,0,166586013148.3662415,1,0.966667
0,0.2,0,115135894496.4156799,1,0.7
0,0.2,0,155305905027.6708069,1,0.966667
0,0.2,0,137747709181.5559998,1,0.933333
0,0.2,0,140263481009.5470276,1,1
0,0.2,0,118960543163.5764465,1,1
0,0.2,0,175708951925.1117554,1,1
0,0.2,0,174991150611.2550354,1,0.933333
0,0.2,0,141486642586.6910095,1,1
0,0.2,0,198140694683.4880371,1,0.933333
0,0.2,0,143829323657.2351685,1,0.766667
0,0.2,0,149136760371.2406921,1,0.866667
0,0.2,0,187385420872.1557312,1,0.933333
0,0.2,0,125154355206.9285278,1,0.966667
0,0.2,0,135236055433.6932831,1,1
0,0.4,0,227212824390.869751,1,0.833333
0,0.4,0,233028474410.2948303,1,0.9
0,0.4,0,205556588909.7697754,1,0.866667
0,0.4,0,293266887902.1760864,1,0.933333
0,0.4,0,259401712404.7100525,1,0.966667
0,0.4,0,328361852293.28479,1,0.9
0,0.4,0,290538328292.7507324,1,0.5
0,0.4,0,264520345627.7168274,1,0.9
0,0.4,0,171227037074.1009827,1,0.866667
0,0.4,0,327929418701.4651489,1,0.933333
0,0.4,0,310872741805.6367798,1,0.8
0,0.4,0,233935237116.4613037,1,0.833333
0,0.4,0,300676016650.3892822,1,0.966667
0,0.4,0,322488357936.3010864,1,0.833333
0,0.4,0,232904306116.6636963,1,0.833333
0,0.4,0,241947005089.2878418,1,0.866667
0,0.4,0,169443312216.6478271,1,0.9
0,0.4,0,273612034029.1430664,1,0.866667
0,0.4,0,843706012001.8006592,0.733333,0.433333
0,0.4,0,284042789415.0330811,0.633333,0.3
0,0.4,0,213208957027.3658447,1,0.833333
0,0.4,0,233182201078.9038696,1,0.866667
0,0.4,0,285772223422.994812,1,0.933333
0,0.4,0,279893333665.7161255,1,0.9
0,0.4,0,233857253953.7214355,1,0.9
0,0.6,0,3418593361366.967773,0.766667,0.433333
0,0.6,0,2259203571527.803223,0.8,0.433333
0,0.6,0,3685191058542.898926,0.733333,0.566667
0,0.6,0,2790439562610.82959,0.733333,0.433333
0,0.6,0,2476398496282.691895,0.833333,0.633333
0,0.6,0,3413640900886.216797,0.766667,0.633333
0,0.6,0,2701425859610.921387,0.8,0.466667
0,0.6,0,3326932776433.227051,0.766667,0.766667
0,0.6,0,1992146415241.137695,0.6,0.366667
0,0.6,0,1543662688453.357178,0.566667,0.4
0,0.6,0,2162375032213.257568,0.766667,0.666667
0,0.6,0,2373032020539.054688,0.766667,0.566667
0,0.6,0,2429268942983.790039,0.8,0.5
0,0.6,0,2681154481138.546387,0.8,0.633333
0,0.6,0,3955429938975.374512,0.7,0.5
0,0.6,0,3309735930411.62207,0.8,0.566667
0,0.6,0,2018449870081.049805,0.8,0.666667
0,0.6,0,2180692492275.659912,0.766667,0.366667
