mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------,,,,,
-----------------------Scenario 1--------------------,,,,,
-----------------------Noise Scenario 2--------------------,,,,,
3,0,2,738166037413.14,0.966667,0.666667
3,0,2,565668255187.086,1,0.8
3,0,2,819404044394.249,0.966667,0.833333
3,0,2,435666314231.668,1,0.866667
3,0,2,431423776221.804,1,0.866667
3,0,2,536954570606.362,1,0.833333
3,0,2,579391106270.139,0.966667,0.966667
3,0,2,571718601987.674,1,0.866667
3,0,2,616444125056.695,0.966667,0.866667
3,0,2,686757504461.357,0.966667,0.933333
3,0,2,601843427622.541,0.966667,0.9
3,0,2,690269567357.348,1,0.6
3,0,2,619554008625.75,0.966667,0.966667
3,0,2,604184965037.475,0.966667,0.766667
3,0,2,380702556876.9,0.966667,0.9
3,0,2,389657526544.862,1,0.933333
3,0,2,576500273275.033,0.966667,0.866667
3,0,2,635378306240.566,1,0.966667
3,0,2,572027109730.87,1,0.866667
3,0,2,497991508571.22,1,0.933333
3,0,2,628983518587.414,1,0.7
3,0,2,753152457872.347,0.966667,0.766667
3,0,2,483376641603.66,1,0.933333
3,0,2,341955201339.992,1,0.866667
3,0,2,653094062031.378,0.966667,0.866667
3,0.2,2,1693418118426.69,0.866667,0.633333
3,0.2,2,2255413309624.66,0.866667,0.7
3,0.2,2,2120271371517.18,0.833333,0.733333
3,0.2,2,2058593743085.09,0.866667,0.633333
3,0.2,2,1841534597933,0.833333,0.733333
3,0.2,2,2216836728777.64,0.866667,0.766667
3,0.2,2,2760019129733.81,0.9,0.7
3,0.2,2,2049249053726.85,0.866667,0.7
3,0.2,2,1573311664166.42,0.9,0.866667
3,0.2,2,2420203543615.94,0.866667,0.666667
3,0.2,2,1851265183857.35,0.866667,0.7
3,0.2,2,2499598525637.28,0.9,0.766667
3,0.2,2,1780084811883.96,0.866667,0.666667
3,0.2,2,1714724696458.33,0.866667,0.766667
3,0.2,2,2065203033726.86,0.933333,0.666667
3,0.2,2,1947070312708.41,0.866667,0.7
3,0.2,2,1796449923895.92,0.833333,0.7
3,0.2,2,1837370912861.05,0.9,0.7
3,0.2,2,2017939212593.16,0.833333,0.733333
3,0.2,2,1477923081855.43,0.9,0.466667
3,0.2,2,2353268168252.65,0.833333,0.666667
3,0.2,2,2268803542588.58,0.866667,0.7
3,0.2,2,2041421419529.51,0.9,0.733333
3,0.2,2,2733236679308.75,0.866667,0.766667
3,0.2,2,1918955658757.98,0.9,0.833333
3,0.4,2,9941493541417.86,0.533333,0.4
3,0.4,2,10133091014670.9,0.466667,0.3
3,0.4,2,12895625107514,0.433333,0.433333
3,0.4,2,11520467833323.8,0.5,0.2
3,0.4,2,12153090055523.8,0.466667,0.3
3,0.4,2,9701716480390.06,0.466667,0.366667
