mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 2--------------------
3,0,2,738166037413.1400146,0.966667,0.666667
3,0,2,565668255187.0855713,1,0.8
3,0,2,819404044394.2485352,0.966667,0.833333
3,0,2,435666314231.6679077,1,0.866667
3,0,2,431423776221.8040161,1,0.866667
3,0,2,536954570606.3616333,1,0.833333
3,0,2,579391106270.1392822,0.966667,0.966667
3,0,2,571718601987.6737061,1,0.866667
3,0,2,616444125056.6949463,0.966667,0.866667
3,0,2,686757504461.3570557,0.966667,0.933333
3,0,2,601843427622.5411377,0.966667,0.9
3,0,2,690269567357.3477783,1,0.6
3,0,2,619554008625.7497559,0.966667,0.966667
3,0,2,604184965037.4748535,0.966667,0.766667
3,0,2,380702556876.8995361,0.966667,0.9
3,0,2,389657526544.8623047,1,0.933333
3,0,2,576500273275.0328369,0.966667,0.866667
3,0,2,635378306240.5656738,1,0.966667
3,0,2,572027109730.8701172,1,0.866667
3,0,2,497991508571.2200928,1,0.933333
3,0,2,628983518587.4136963,1,0.7
3,0,2,753152457872.3474121,0.966667,0.766667
3,0,2,483376641603.65979,1,0.933333
3,0,2,341955201339.9923706,1,0.866667
3,0,2,653094062031.3778076,0.966667,0.866667
3,0.2,2,1693418118426.687256,0.866667,0.633333
3,0.2,2,2255413309624.657715,0.866667,0.7
3,0.2,2,2120271371517.184326,0.833333,0.733333
3,0.2,2,2058593743085.091797,0.866667,0.633333
3,0.2,2,1841534597933.002441,0.833333,0.733333
3,0.2,2,2216836728777.643555,0.866667,0.766667
3,0.2,2,2760019129733.806641,0.9,0.7
3,0.2,2,2049249053726.846436,0.866667,0.7
3,0.2,2,1573311664166.422852,0.9,0.866667
3,0.2,2,2420203543615.941895,0.866667,0.666667
3,0.2,2,1851265183857.348877,0.866667,0.7
3,0.2,2,2499598525637.278809,0.9,0.766667
3,0.2,2,1780084811883.9646,0.866667,0.666667
3,0.2,2,1714724696458.327881,0.866667,0.766667
3,0.2,2,2065203033726.86377,0.933333,0.666667
3,0.2,2,1947070312708.407715,0.866667,0.7
3,0.2,2,1796449923895.921875,0.833333,0.7
3,0.2,2,1837370912861.049072,0.9,0.7
3,0.2,2,2017939212593.160645,0.833333,0.733333
3,0.2,2,1477923081855.426025,0.9,0.466667
3,0.2,2,2353268168252.645508,0.833333,0.666667
3,0.2,2,2268803542588.584961,0.866667,0.7
3,0.2,2,2041421419529.509766,0.9,0.733333
3,0.2,2,2733236679308.745605,0.866667,0.766667
3,0.2,2,1918955658757.983154,0.9,0.833333
3,0.4,2,9941493541417.861328,0.533333,0.4
3,0.4,2,10133091014670.91016,0.466667,0.3
3,0.4,2,12895625107513.97461,0.433333,0.433333
3,0.4,2,11520467833323.77344,0.5,0.2
