mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,389531.2586579852505,0,0
0,5,20,0,377361.4493533264613,0.05,0.05
0,5,30,0,304074.8599617538857,0.0333333,0.0333333
0,5,40,0,366741.0259567901376,0.025,0.025
0,5,50,0,360993.1731221276568,0.02,0.02
0,10,10,0,389531.2586579852505,0,0
0,10,20,0,377361.4493533264613,0.05,0.05
0,10,30,0,304074.8599617538857,0.0333333,0.0333333
0,10,40,0,366744.0413824861753,0.025,0.025
0,10,50,0,360993.1731221276568,0.02,0.02
0,15,10,0,389531.2586579852505,0,0
0,15,20,0,377361.4493533264613,0.05,0.05
0,15,30,0,304074.8599617538857,0.0333333,0.0333333
0,15,40,0,366744.0413824861753,0.025,0.025
0,15,50,0,360962.8494992373744,0.02,0.02
-----------------------Scenario 1--------------------
0,5,0,10,370286.1192775950185,0,0
0,5,0,20,436879.0407769529265,0,0
0,5,0,30,335580.6504667559639,0.0333333,0.0333333
0,5,0,40,369128.1270695673884,0.025,0.025
0,5,0,50,357007.1700985080679,0.02,0.02
0,10,0,10,333670.4563463945524,0,0
0,10,0,20,235584.7429986992211,0,0
0,10,0,30,235308.0601941962959,0.0333333,0.0333333
0,10,0,40,242531.407457599038,0.05,0.05
0,10,0,50,259477.3004543771967,0.04,0.04
0,15,0,10,314765.0627778966445,0.1,0.1
0,15,0,20,349224.1699582398869,0.05,0.05
0,15,0,30,359328.4329882196616,0.0333333,0.0333333
0,15,0,40,360566.1385795414099,0.025,0.025
0,15,0,50,356550.8974963817163,0.02,0.02
-----------------------Scenario 2--------------------
0,5,5,5,761915.7481073830277,0,0
0,5,10,10,684541.2888011514442,0.05,0.05
0,5,15,15,507921.9545322716585,0.0333333,0.0333333
0,5,20,20,665729.9905817243271,0,0
0,5,25,25,604937.828773839632,0.02,0.02
0,10,5,5,609189.7042342327768,0.1,0.1
0,10,10,10,600540.2453959940467,0.05,0.05
0,10,15,15,672063.9949026107788,0,0
0,10,20,20,573392.5310373303946,0.025,0.025
0,10,25,25,666681.458206392359,0,0
0,15,5,5,532892.2088080397807,0,0
0,15,10,10,842771.3091832690407,0,0
0,15,15,15,668807.6834353557788,0.0333333,0.0333333
0,15,20,20,620874.1304950728081,0,0
0,15,25,25,646551.92865066987,0,0
-----------------------mode 1--------------------
-----------------------Scenario 0--------------------
1,5,10,0,370259.5876361759729,0,0
1,5,20,0,276970.1690499967663,0,0
1,5,30,0,266892.1207687392598,0,0
1,5,40,0,287096.7856522016227,0,0
1,5,50,0,292716.603467775858,0,0
1,10,10,0,370259.5876361759729,0,0
1,10,20,0,276970.1690499967663,0,0
1,10,30,0,266754.6664584774408,0,0
1,10,40,0,287450.7750977455871,0,0
1,10,50,0,292716.603467775858,0,0
1,15,10,0,370259.5876361759729,0,0
1,15,20,0,276711.0707320022047,0,0
1,15,30,0,266754.6664584774408,0,0
1,15,40,0,287450.7750977455871,0,0
1,15,50,0,292962.4631787234684,0,0
-----------------------Scenario 1--------------------
1,5,0,10,284127.0898694302305,0,0
1,5,0,20,330417.2124002352939,0.05,0.05
1,5,0,30,335580.6504667559639,0.0333333,0.0333333
1,5,0,40,369128.1270695673884,0.025,0.025
1,5,0,50,357007.1700985080679,0.02,0.02
1,10,0,10,333670.4563463945524,0,0
1,10,0,20,235584.7429986992211,0,0
1,10,0,30,235308.0601941962959,0.0333333,0.0333333
1,10,0,40,242531.407457599038,0.05,0.05
1,10,0,50,259477.3004543771967,0.04,0.04
1,15,0,10,314765.0627778966445,0.1,0.1
1,15,0,20,349224.1699582398869,0.05,0.05
1,15,0,30,359328.4329882196616,0.0333333,0.0333333
1,15,0,40,360566.1385795414099,0.025,0.025
1,15,0,50,356550.8974963817163,0.02,0.02
-----------------------Scenario 2--------------------
1,5,5,5,126835.0899020211509,0.1,0.1
1,5,10,10,301226.6511290999479,0.05,0.05
1,5,15,15,654375.3624604567885,0.0333333,0.0333333
1,5,20,20,599325.3427019970259,0.025,0.025
1,5,25,25,662126.734982498805,0.02,0.02
1,10,5,5,350035.2353490195237,0.1,0.1
1,10,10,10,657590.9552827961743,0.05,0.05
1,10,15,15,544122.4905838065315,0.0333333,0.0333333
1,10,20,20,614804.3598145169672,0.025,0.025
1,10,25,25,765949.9402831323678,0.06,0.06
1,15,5,5,587580.5446865566773,0.1,0.1
1,15,10,10,397607.3252742852201,0.05,0.05
1,15,15,15,489833.7130519353668,0.0333333,0.0333333
1,15,20,20,661715.5759098579874,0.075,0.075
1,15,25,25,730815.3118821296375,0.04,0.04
-----------------------mode 2--------------------
-----------------------Scenario 0--------------------
2,5,10,0,73141.83951825900294,0.1,0.1
2,5,20,0,177591.1567543864949,0.05,0.05
2,5,30,0,272918.9021102773258,0.0666667,0.0666667
2,5,40,0,285330.619152134168,0.05,0.05
2,5,50,0,305827.0412776761805,0.04,0.04
2,10,10,0,73141.83951825900294,0.1,0.1
2,10,20,0,177591.1567543864949,0.05,0.05
2,10,30,0,273011.8191892050672,0.0666667,0.0666667
2,10,40,0,285340.2820649227942,0.05,0.05
2,10,50,0,305827.0412776761805,0.04,0.04
2,15,10,0,73141.83951825900294,0.1,0.1
2,15,20,0,177591.1567543864949,0.05,0.05
2,15,30,0,273011.8191892050672,0.0666667,0.0666667
2,15,40,0,285340.2820649227942,0.05,0.05
2,15,50,0,305925.1903090654523,0.04,0.04
-----------------------Scenario 1--------------------
2,5,0,10,354333.1707379474537,0,0
2,5,0,20,304873.6601167844492,0.05,0.05
2,5,0,30,303531.3860575797153,0.0333333,0.0333333
2,5,0,40,320589.418106992438,0.025,0.025
2,5,0,50,353258.1847818805254,0.02,0.02
2,10,0,10,188237.8129557185748,0,0
2,10,0,20,293845.4070781402988,0,0
2,10,0,30,354691.3765689797583,0,0
2,10,0,40,386455.4674772468861,0,0
2,10,0,50,418655.2688078164938,0,0
2,15,0,10,228084.8116108409595,0,0
2,15,0,20,354692.502026462811,0,0
2,15,0,30,328100.8192028441699,0,0
2,15,0,40,391394.3441827403731,0.025,0.025
