mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 3--------------------
-----------------------Scenario 0--------------------
3,5,10,0,324539989172.210083,1,0.9
3,5,10,0,367432768957.9706421,1,0.9
3,5,10,0,240641142575.5252991,1,1
3,5,10,0,481338048939.4976196,1,0.8
3,5,10,0,273717388067.4438171,1,1
3,5,10,0,579629573797.7248535,1,1
3,5,10,0,526617470863.4868774,1,0.9
3,5,10,0,271015298960.6652527,1,0.9
3,5,10,0,584302088946.6175537,1,1
3,5,10,0,160377734287.2302246,1,0.9
3,5,10,0,563587036589.3441162,1,1
3,5,10,0,437758656161.6010132,1,0.9
3,5,10,0,299233131265.2890015,1,1
3,5,10,0,281513312581.6831055,1,1
3,5,10,0,179663989962.382782,1,0.8
3,5,10,0,138169712214.5524597,1,1
3,5,10,0,192701906439.0696106,1,0.9
3,5,10,0,239118458029.1190491,1,0.9
3,5,10,0,373374179508.4403687,1,1
3,5,10,0,187484723144.8501587,1,1
3,5,10,0,270279001107.8993835,1,1
3,5,10,0,156066416256.3738403,1,1
3,5,10,0,374013820459.8569336,1,0.9
3,5,10,0,174761589668.2321472,1,1
3,5,10,0,336695723287.2930908,1,0.9
3,5,10,0,284825330340.4440918,1,1
3,5,10,0,144535345370.5745544,1,0.8
3,5,10,0,99681850758.60658264,1,0.9
3,5,10,0,296927823411.8066406,1,0.9
3,5,10,0,564933005422.3583984,1,0.9
3,5,10,0,581543054873.9316406,1,0.9
3,5,10,0,501523103233.7167969,1,0.9
3,5,10,0,317999856540.6148071,1,1
3,5,10,0,391338744199.8543091,1,1
3,5,10,0,357167681102.8862305,1,1
3,5,10,0,263389428795.7105103,1,1
3,5,10,0,592312530732.835083,1,1
3,5,10,0,296179895611.1177368,1,1
3,5,10,0,380395907672.2896118,1,1
3,5,10,0,266114413628.5466003,1,1
3,5,10,0,423457704141.6643677,1,1
3,5,10,0,88679791299.09519958,1,1
3,5,10,0,580730245352.1694336,1,1
3,5,10,0,337770623369.2081299,1,0.9
3,5,10,0,210901433892.7734985,1,0.9
3,5,10,0,813636027056.6260986,1,1
3,5,10,0,257676407498.0126648,1,1
3,5,10,0,409679536137.3324585,1,1
3,5,10,0,249358290330.149292,1,1
3,5,10,0,948587437025.5908203,1,0.9
3,5,20,0,115640761255.0682526,1,1
3,5,20,0,233677055700.023468,1,1
3,5,20,0,176061943981.5692139,1,1
3,5,20,0,97759673603.61877441,1,0.95
3,5,20,0,121313251368.954895,1,1
3,5,20,0,127231647714.0380859,1,1
3,5,20,0,123726031040.7386169,1,1
3,5,20,0,88686055283.30036926,1,1
3,5,20,0,30569590583.56580734,1,1
3,5,20,0,54397853383.40615845,1,1
3,5,20,0,244840305016.9132385,1,0.95
3,5,20,0,123187971484.2020416,1,1
3,5,20,0,150993583939.5666504,1,1
3,5,20,0,175640134575.6343994,1,1
3,5,20,0,140018153986.3911133,1,1
3,5,20,0,370421305315.3041382,1,0.95
3,5,20,0,217492067967.4950562,1,1
3,5,20,0,154340198037.5147095,1,1
3,5,20,0,218138918218.1600647,1,1
3,5,20,0,101915633519.9983368,1,1
3,5,20,0,537956535714.7244263,1,1
3,5,20,0,303640949015.6045532,1,1
3,5,20,0,198367342990.1107483,1,1
3,5,20,0,325743404915.6813965,1,1
3,5,20,0,97437801903.40783691,1,1
3,5,20,0,248633431016.4515991,1,1
3,5,20,0,218229112295.1582947,1,1
3,5,20,0,161161850284.13797,1,1
3,5,20,0,135710700134.385376,1,1
3,5,20,0,149612352127.2679749,1,1
3,5,20,0,403678969558.1295166,1,1
3,5,20,0,130329414344.7941132,1,1
3,5,20,0,210808538123.2319031,1,1
3,5,20,0,94258826597.09440613,1,1
3,5,20,0,234035701170.781189,1,1
3,5,20,0,54404374305.45261383,1,1
3,5,20,0,128718066829.6333771,1,1
3,5,20,0,193041219803.5161743,1,1
3,5,20,0,60778996473.82097626,1,1
3,5,20,0,242491714778.5089417,1,1
3,5,20,0,225528856287.7907715,1,1
3,5,20,0,303196092726.7921753,1,1
3,5,20,0,348907355699.295166,1,1
3,5,20,0,102077798752.3402252,1,1
3,5,20,0,146113918554.4277649,1,1
3,5,20,0,199320958034.6620178,1,1
3,5,20,0,175557691499.2134705,1,1
3,5,20,0,97369958184.60568237,1,1
3,5,20,0,279235611510.1335449,1,1
3,5,20,0,63944239611.72007751,1,1
3,5,30,0,128923215021.3077545,1,1
3,5,30,0,165092187000.2819214,1,1
3,5,30,0,147262162791.353302,1,1
3,5,30,0,417881065974.0974731,1,1
3,5,30,0,152302065934.6636963,1,1
3,5,30,0,94385579886.32727051,1,1
3,5,30,0,263522162396.0413513,1,1
3,5,30,0,218332905382.4374695,1,1
3,5,30,0,108363910619.5843048,1,1
3,5,30,0,73127555489.04904175,1,1
3,5,30,0,76729668664.37704468,1,1
3,5,30,0,73137215787.52987671,1,1
3,5,30,0,165031767169.9265137,1,1
3,5,30,0,123129515844.5606995,1,1
3,5,30,0,107251621590.1856842,1,1
3,5,30,0,294429183576.5547485,1,1
3,5,30,0,148366103503.9515381,1,1
3,5,30,0,99248892453.42468262,1,1
3,5,30,0,121515760820.6605377,1,1
3,5,30,0,118640663338.8644409,1,1
3,5,30,0,186255026101.0911865,1,1
3,5,30,0,142740897798.0606384,1,1
3,5,30,0,108188544005.9020844,1,1
3,5,30,0,112545797963.2094421,1,1
3,5,30,0,182930450047.3167419,1,1
3,5,30,0,205437717019.4954834,1,1
3,5,30,0,162039543485.5831604,1,1
3,5,30,0,102150614755.9918823,1,1
3,5,30,0,124596730194.4432983,1,1
3,5,30,0,195988060640.5817566,1,1
3,5,30,0,90217676016.11766052,1,1
3,5,30,0,131765093964.2150269,1,1
3,5,30,0,114060210560.7808685,1,1
3,5,30,0,155645711065.2082214,1,1
3,5,30,0,168804042870.2099609,1,1
3,5,30,0,100704447559.5841675,1,1
3,5,30,0,214998206508.5835876,1,1
3,5,30,0,124509288860.0559387,1,1
3,5,30,0,203879253428.268219,1,1
3,5,30,0,165012905865.3485413,1,1
3,5,30,0,183138273449.5643311,1,1
3,5,30,0,160723385377.1515503,1,1
3,5,30,0,124043132190.2759857,1,1
3,5,30,0,200923626014.9484863,1,1
3,5,30,0,115705487370.5819702,1,1
3,5,30,0,155146860339.7053833,1,1
3,5,30,0,116355368971.6193085,1,1
3,5,30,0,152911547195.4107971,1,1
3,5,30,0,287512950840.0560913,1,0.966667
3,5,30,0,232702481797.0450745,1,1
3,5,40,0,761336465708.0200195,0.975,0.975
3,5,40,0,218828266882.2635193,1,0.95
3,5,40,0,222469288817.5406494,1,1
3,5,40,0,353471114871.9500732,1,1
3,5,40,0,194648104060.6306763,1,1
3,5,40,0,188195705274.5145264,1,1
3,5,40,0,281889327690.5018311,1,1
3,5,40,0,199667375059.9151001,1,0.95
3,5,40,0,298998019215.9423828,1,1
3,5,40,0,165603192420.2148743,1,1
3,5,40,0,180053984414.7363892,1,0.975
3,5,40,0,211499447290.7640686,1,1
3,5,40,0,271939777077.2811584,1,1
3,5,40,0,296786530294.1341553,1,1
3,5,40,0,128874604955.5437927,1,1
3,5,40,0,280370484357.5664673,1,1
3,5,40,0,208482925787.3742371,1,1
3,5,40,0,245151750156.5515442,1,1
3,5,40,0,207221288587.1706543,1,0.925
3,5,40,0,312314812373.201355,1,0.975
3,5,40,0,297746980701.0734253,1,1
3,5,40,0,273490750897.8190002,1,1
3,5,40,0,218784877836.3180847,1,1
3,5,40,0,238032054358.648407,1,1
3,5,40,0,174316439159.6387634,1,0.925
3,5,40,0,228748964076.4353027,1,0.975
3,5,40,0,178694236391.4000549,1,1
3,5,40,0,215682864231.5517578,1,0.975
3,5,40,0,159174229187.3405151,1,1
3,5,40,0,191698248065.7868652,1,1
3,5,40,0,225830093657.1451721,1,1
3,5,40,0,242448016448.1554871,1,1
3,5,40,0,294672602428.6109009,1,1
3,5,40,0,380178289381.9450073,1,0.975
3,5,40,0,210801111863.675293,1,1
3,5,40,0,164272864583.6930847,1,1
3,5,40,0,391803616561.3178101,1,1
3,5,40,0,581153103098.7374268,1,1
3,5,40,0,167946763445.9223633,1,1
3,5,40,0,211585646964.0487976,1,1
3,5,40,0,215736461673.3050537,1,1
3,5,40,0,229898082160.5303955,1,1
3,5,40,0,267724123946.161377,1,0.95
3,5,40,0,195855786800.92099,1,1
3,5,40,0,154256850467.3044128,1,1
3,5,40,0,163291650315.9601746,1,1
3,5,40,0,250628504350.7007141,1,1
3,5,40,0,226373444652.3886414,1,1
3,5,40,0,175591630071.1580811,1,1
3,5,40,0,789941850810.7304688,0.975,0.975
3,5,50,0,456645927423.3587646,1,0.96
3,5,50,0,368073201012.1735229,1,0.98
3,5,50,0,332276797811.2888184,1,0.9
3,5,50,0,377851395021.4905396,1,0.94
3,5,50,0,365006063055.1374512,1,1
3,5,50,0,256829892615.1638184,1,1
3,5,50,0,366319898733.0427856,1,0.98
3,5,50,0,208486108314.5405273,1,1
3,5,50,0,229922338239.5301208,1,0.92
3,5,50,0,196229173581.1366577,1,1
3,5,50,0,793948728339.7492676,1,1
3,5,50,0,392063212938.1601562,1,0.96
3,5,50,0,276958589276.7304077,1,0.98
3,5,50,0,522542617260.8339844,1,1
3,5,50,0,306316599331.5641479,1,0.86
3,5,50,0,291529835312.4974976,1,0.94
3,5,50,0,288994184441.7424927,1,0.94
3,5,50,0,277807177359.1679077,1,1
3,5,50,0,319645315571.4458618,1,0.92
3,5,50,0,358326676852.5682373,1,0.98
3,5,50,0,271198629003.9321899,1,0.94
3,5,50,0,316187295077.9483032,1,0.96
3,5,50,0,261616272143.8623657,1,0.98
3,5,50,0,284610705649.03479,1,0.9
3,5,50,0,250191136792.803894,1,0.98
3,5,50,0,410957025802.0234985,1,0.96
3,5,50,0,665229201736.1795654,1,1
3,5,50,0,560898521527.4316406,1,0.96
3,5,50,0,438985870472.3348389,1,0.98
3,5,50,0,423436311168.1516113,1,0.88
3,5,50,0,286709179154.0645142,1,0.9
3,5,50,0,306002813240.6912842,1,0.96
3,5,50,0,531474783168.6118774,1,0.96
3,5,50,0,246107747919.0357971,1,1
3,5,50,0,240981986456.3252869,1,0.98
3,5,50,0,291189597378.0622559,1,0.98
3,5,50,0,257912827019.757843,1,0.98
3,5,50,0,289269276326.0900269,1,0.96
3,5,50,0,343582777356.486084,1,0.92
3,5,50,0,452770576074.645874,1,0.94
3,5,50,0,417831167498.3109131,1,0.9
3,5,50,0,262996701719.3872375,1,0.98
3,5,50,0,331533330037.2310791,1,1
3,5,50,0,376583852171.1003418,1,0.92
3,5,50,0,484834845182.8565063,1,0.94
3,5,50,0,401875185556.0523071,1,0.94
3,5,50,0,288850960493.7723999,1,1
3,5,50,0,230394564023.4498596,1,0.96
3,5,50,0,375075912333.7091675,1,1
3,5,50,0,252226451120.271637,1,0.98
3,10,10,0,893874664811.0821533,1,0.6
3,10,10,0,687299993255.3996582,1,0.5
3,10,10,0,911309832153.3675537,1,0.9
3,10,10,0,1311129150124.233398,1,0.6
3,10,10,0,625513930371.7200928,1,0.8
3,10,10,0,921478774438.9362793,0.9,0.8
3,10,10,0,1232708384629.037598,1,0.9
3,10,10,0,822598108766.1560059,1,1
3,10,10,0,1167400326732.36084,1,0.7
3,10,10,0,603566969616.8762207,1,0.8
3,10,10,0,1098549339755.356689,1,0.6
3,10,10,0,1108774933187.041992,1,1
3,10,10,0,1205981629886.588379,1,0.8
3,10,10,0,780539442577.0546875,1,0.7
3,10,10,0,514501799817.3944702,1,0.9
3,10,10,0,845544590777.0786133,1,1
3,10,10,0,1097234899162.628296,1,1
