mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------
-----------------------Scenario 0--------------------
0,5,10,0,4114656706942.473633,0,0
0,5,10,0,4403800510615.098633,0,0
0,5,10,0,4911789243453.805664,0.1,0
0,5,10,0,9048930587352.759766,0.3,0.1
0,5,10,0,3260309403824.333984,0,0
0,5,10,0,3044141175916.763184,0,0
0,5,10,0,4703548481685.388672,0,0
0,5,10,0,3795181098955.833984,0.8,0.6
0,5,10,0,3454969047051.307129,0.4,0
0,5,10,0,5018507832429.007812,0.2,0
0,5,10,0,4427605910266.560547,0,0
0,5,10,0,3670633246018.515625,0,0
0,5,10,0,4499289235755.71875,0,0
0,5,10,0,3132791916057.519043,0.8,0
0,5,10,0,5895823586485.095703,0.2,0.1
0,5,10,0,4884441940848.521484,0.5,0
0,5,10,0,4352065322311.877441,0.8,0.3
0,5,10,0,2081046773052.489502,0.8,0.8
0,5,10,0,5116622896301.050781,0,0
0,5,10,0,4527253209327.804688,0.1,0
0,5,10,0,5674486993982.902344,0.3,0
0,5,10,0,4646044817194.658203,0.1,0
0,5,10,0,6583840821383.191406,0.5,0.5
0,5,10,0,5256393392342.230469,0.8,0.5
0,5,10,0,3727464868309.197754,0.1,0
0,5,10,0,2712993710060.574219,0,0
0,5,10,0,4748010381982.737305,0.1,0
0,5,10,0,2658145938016.813477,0.1,0
0,5,10,0,5448181730795.705078,0,0
0,5,10,0,4610021204479.759766,0.1,0
0,5,10,0,4332247420439.486328,0.8,0.8
0,5,10,0,2941400404707.53125,0.1,0
0,5,10,0,4447964153098.089844,0.7,0.5
0,5,10,0,4577829629185.65625,0.8,0.8
0,5,10,0,1284330110598.757812,0.8,0.8
0,5,10,0,1896965104452.859619,0.8,0.3
0,5,10,0,3398524077452.748535,0.8,0.4
0,5,10,0,9361211440873.021484,0.3,0
0,5,10,0,5600161344820.611328,0.3,0
0,5,10,0,4779386549904.348633,0.1,0
0,5,10,0,4377665736117.247559,0,0
0,5,10,0,3336198330964.921387,0,0
0,5,10,0,2128681492216.579346,0.8,0.8
0,5,10,0,4468317996294.168945,0.8,0.6
0,5,10,0,5386939599193.146484,0.8,0.8
0,5,10,0,4044153805004.478516,0,0
0,5,10,0,4237233653595.915527,0.9,0
0,5,10,0,3905048801885.609375,0,0
0,5,10,0,2267667419709.106934,0.8,0.3
0,5,10,0,7300486585770.985352,0.3,0.2
0,5,10,0,5033332468502.370117,0.1,0
0,5,10,0,6873201814473.612305,0.4,0
0,5,10,0,3391763838036.655762,0,0
0,5,10,0,4219871588868.706055,0.1,0
0,5,10,0,4782858393911.380859,0.9,0
0,5,10,0,3144597995866.285645,0.8,0.8
0,5,10,0,5505819877959.115234,0.3,0
0,5,10,0,3513219616005.728516,0.6,0.4
0,5,10,0,6469659410215.339844,0.3,0.2
0,5,10,0,2763683515266.270508,0.8,0.1
0,5,10,0,4638895043763.18457,0.1,0
0,5,10,0,3961819471391.364258,0,0
0,5,10,0,4430133615406.254883,0,0
0,5,10,0,5332502024381.733398,0.1,0
0,5,10,0,4609586542883.681641,0,0
0,5,10,0,11595355445742.09766,0,0
0,5,10,0,4595762002733.154297,0,0
0,5,10,0,3170653036732.306152,0,0
0,5,10,0,4209432404376.450195,0.1,0
0,5,10,0,7971444299535.089844,0.3,0.1
0,5,10,0,4480172364639.389648,0,0
0,5,10,0,2664226955618.903809,0.1,0
0,5,10,0,3091624987867.421387,0.2,0
0,5,10,0,4999622517800.46582,0.2,0
0,5,10,0,4537971273134.038086,0,0
0,5,10,0,4253787570173.966797,0,0
0,5,10,0,3849112402140.990234,0.8,0
0,5,10,0,4584179419920.780273,0.8,0.8
0,5,10,0,2929088364117.908691,0.1,0
0,5,10,0,3328611427675.833008,0.8,0.8
0,5,10,0,2577667834139.119141,0,0
0,5,10,0,8461493908977.670898,0.3,0
0,5,10,0,4722914977126.292969,0,0
0,5,10,0,4148362021891.98877,0.9,0
0,5,10,0,5491417863506.641602,0.8,0.6
0,5,10,0,4312837662198.986328,0,0
0,5,10,0,2613227317921.151855,0,0
0,5,10,0,5464837348433.470703,0,0
0,5,10,0,4225291349527.331543,0.8,0.7
0,5,10,0,5146462268789.047852,0,0
0,5,10,0,4173228189078.954102,0.5,0
0,5,10,0,3622414248949.383301,0.1,0
0,5,10,0,4058841656911.29834,0.1,0
0,5,10,0,3370552176263.248535,0,0
0,5,10,0,2898562894979.551758,0.5,0
0,5,10,0,4544075148639.594727,0.8,0.7
0,5,10,0,1297658879172.273438,0.9,0.7
0,5,10,0,10147279703138.55859,0.2,0.1
0,5,10,0,2618239780922.713867,0,0
0,5,10,0,6364384528015.424805,0.8,0.6
0,5,20,0,2149642481603.907715,0,0
0,5,20,0,2294156264440.938477,0,0
0,5,20,0,2403062489518.78418,0,0
0,5,20,0,2524606310714.116699,0.95,0.05
0,5,20,0,5354827961346.344727,0.4,0
0,5,20,0,2701664891437.409668,0,0
0,5,20,0,1681907726444.10083,0.65,0.6
0,5,20,0,1659978651961.833008,0.25,0
0,5,20,0,2250862405532.481934,0,0
0,5,20,0,1708422579138.542725,0.9,0.9
0,5,20,0,2444938379466.928711,0,0
0,5,20,0,3665120609909.57666,0.3,0
0,5,20,0,2880095319523.818359,0.5,0.4
0,5,20,0,2260671635481.52832,0.05,0
0,5,20,0,1335092309049.953369,0.9,0.9
0,5,20,0,2350616968058.098145,0.95,0
0,5,20,0,2038649076835.905762,0.9,0.9
0,5,20,0,2664037570988.572754,0,0
0,5,20,0,2005159841078.781494,0.05,0
0,5,20,0,1685398460079.335205,0.9,0.8
0,5,20,0,1696281266191.536621,0.5,0
0,5,20,0,1576131107288.149902,0.5,0
0,5,20,0,2002938185701.808838,0,0
0,5,20,0,2349267684291.687012,0.95,0.1
0,5,20,0,4456481602769.145508,0.45,0.1
0,5,20,0,3991102688968.975098,0.45,0.45
0,5,20,0,2761331320596.959961,0.4,0
0,5,20,0,4383271026674.918457,0.35,0
0,5,20,0,5143610318687.505859,0.05,0
0,5,20,0,4908523700171.350586,0,0
0,5,20,0,3566931289095.185059,0.85,0.7
