mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 3--------------------
-----------------------Scenario 0--------------------
3,5,10,0,170753413835.5524902,1,1
3,5,10,0,110041367032.0742493,1,1
3,5,10,0,171314074165.9770203,1,1
3,5,10,0,227140030439.2795715,1,1
3,5,10,0,429462458330.6057739,1,0.9
3,5,10,0,242973698864.5635681,1,0.9
3,5,10,0,255098936330.0265503,1,1
3,5,10,0,419044059273.6383057,1,0.9
3,5,10,0,178373047338.1395569,1,0.9
3,5,10,0,154318175766.5849304,1,0.8
3,5,10,0,181125899688.2691345,1,0.9
3,5,10,0,207658678892.2542114,1,0.7
3,5,10,0,161190816335.0335388,1,0.7
3,5,10,0,84685830491.58415222,1,1
3,5,10,0,173931971052.7333069,1,1
3,5,10,0,164030963624.2341309,1,0.9
3,5,10,0,111960231310.2139587,1,0.9
3,5,10,0,371447768147.55896,1,1
3,5,10,0,128709614039.1390839,1,1
3,5,10,0,146680402332.0834045,1,1
3,5,10,0,214725338269.6939392,1,0.8
3,5,10,0,279347376431.96875,1,1
3,5,10,0,193477791616.5110168,1,0.9
3,5,10,0,185953366887.0054321,1,0.7
3,5,10,0,510711839852.3688965,1,1
3,5,10,0,348399691570.644165,1,1
3,5,10,0,323922452610.5403442,1,1
3,5,10,0,302772473829.4168701,1,1
3,5,10,0,227568747354.0144653,1,0.7
3,5,10,0,196253983605.5568237,1,1
3,5,10,0,1809384806708.8479,0.9,0.9
3,5,10,0,144748904800.9987793,1,1
3,5,10,0,302309710071.77771,1,1
3,5,10,0,296234712876.3720093,1,1
3,5,10,0,186634412951.8981018,1,1
3,5,10,0,239259473118.4111023,1,0.9
3,5,10,0,152040599681.4635925,1,0.8
3,5,10,0,107539666901.7604523,1,1
3,5,10,0,198048048976.3801575,1,0.9
3,5,10,0,176368655744.4906921,1,0.7
3,5,10,0,154701713583.154541,1,0.5
3,5,10,0,545427305015.6026611,1,0.9
3,5,10,0,249129590280.2922363,1,1
3,5,10,0,100452897139.1877747,1,1
3,5,10,0,90696728566.78251648,1,0.9
3,5,10,0,264626117959.8117065,1,1
3,5,10,0,174401926773.6685486,1,0.7
3,5,10,0,155645497429.6236572,1,1
3,5,10,0,703897928595.0065918,1,0.9
3,5,10,0,285459331888.539917,1,1
3,5,20,0,295856606162.8439941,1,0.9
3,5,20,0,109132088355.1499023,1,1
3,5,20,0,226788942106.5249939,1,0.95
3,5,20,0,52850929901.41001892,1,1
3,5,20,0,30557070793.42319107,1,1
3,5,20,0,145770002963.9925842,1,0.95
3,5,20,0,214542678438.6351929,1,1
3,5,20,0,231893526784.4492493,1,0.95
3,5,20,0,137863457776.1151428,1,1
3,5,20,0,76864535098.93760681,1,1
3,5,20,0,81254045000.97567749,1,1
3,5,20,0,167749202420.2715759,1,1
3,5,20,0,710810414806.7122803,1,0.95
3,5,20,0,112496536758.6381989,1,1
3,5,20,0,120352092408.2652283,1,1
3,5,20,0,78571932193.3011322,1,1
3,5,20,0,84170269333.96951294,1,1
3,5,20,0,140492035724.4058533,1,0.95
3,5,20,0,89908954882.99882507,1,1
3,5,20,0,156244347126.9114075,1,0.95
3,5,20,0,92046656055.20547485,1,0.95
3,5,20,0,73356067729.3036499,1,1
3,5,20,0,1424716186045.236328,1,1
3,5,20,0,88425644186.1706543,1,1
3,5,20,0,75665438499.76829529,1,1
3,5,20,0,169190265653.3809814,1,1
3,5,20,0,133405708496.4598236,1,0.95
3,5,20,0,142590647231.7152405,1,1
3,5,20,0,139322810840.1364136,1,0.95
3,5,20,0,118024089614.9962921,1,1
3,5,20,0,41461933396.97941589,1,0.95
3,5,20,0,92952128338.63342285,1,1
3,5,20,0,111641606769.4871674,1,1
3,5,20,0,129498296606.1561584,1,1
3,5,20,0,72050552594.80879211,1,1
3,5,20,0,120946737000.8822632,1,1
3,5,20,0,91540775522.92645264,1,1
3,5,20,0,55217445154.00075531,1,1
3,5,20,0,129769754586.5294495,1,0.9
3,5,20,0,94975860313.15989685,1,1
3,5,20,0,119603446351.7545929,1,1
3,5,20,0,127193599600.0840302,1,1
3,5,20,0,90745164872.40304565,1,1
3,5,20,0,108817544425.9412994,1,1
3,5,20,0,53013777181.62818909,1,1
3,5,20,0,94497338695.87606812,1,0.95
3,5,20,0,83403824091.137146,1,0.95
3,5,20,0,217503267441.1981201,1,0.95
3,5,20,0,211414460958.0075684,1,1
3,5,20,0,184916132678.9833374,1,1
3,5,30,0,151136472562.5711365,1,0.966667
3,5,30,0,158401516264.4793091,1,1
3,5,30,0,137841266917.6669922,1,1
3,5,30,0,129225758386.2978058,1,1
3,5,30,0,120180895142.9729614,1,1
3,5,30,0,406064208277.4762573,1,1
3,5,30,0,173002610980.2475586,1,1
3,5,30,0,122881589385.0680847,1,1
3,5,30,0,114672210627.4693909,1,1
3,5,30,0,110810160454.4734802,1,1
3,5,30,0,191502155826.6783447,1,1
3,5,30,0,168480322370.8604431,1,1
3,5,30,0,198650031538.2629089,1,1
3,5,30,0,194909346592.18927,1,1
3,5,30,0,169816736314.3570251,1,1
3,5,30,0,124048922452.3536987,1,1
3,5,30,0,162308411094.4880066,1,1
3,5,30,0,433783415281.9682617,0.966667,0.966667
3,5,30,0,186435700048.3868713,1,1
3,5,30,0,117105638821.0753326,1,1
3,5,30,0,173742143545.2749939,1,1
3,5,30,0,146047865293.0927124,1,1
3,5,30,0,325357018513.9585571,1,0.966667
3,5,30,0,141787117090.635376,1,1
3,5,30,0,211876334864.7008972,1,0.966667
3,5,30,0,203230363351.9421387,1,1
3,5,30,0,130952338382.4555664,1,1
3,5,30,0,119616862788.3364716,1,1
3,5,30,0,105827691048.1896973,1,1
3,5,30,0,136908818065.907959,1,1
3,5,30,0,172862097390.1282959,1,1
3,5,30,0,150499840680.288269,1,1
3,5,30,0,109793287577.6403046,1,1
3,5,30,0,133790385765.4517212,1,1
3,5,30,0,111182344380.7492218,1,1
3,5,30,0,101272316854.5963135,1,1
3,5,30,0,108273502114.4194794,1,1
3,5,30,0,99676941107.85543823,1,1
3,5,30,0,211207485105.7015991,1,1
3,5,30,0,96505188465.97653198,1,1
3,5,30,0,362289703289.4759521,1,0.966667
3,5,30,0,190433763428.5790405,1,1
3,5,30,0,117390108817.5987244,1,1
3,5,30,0,155200106059.6759033,1,1
3,5,30,0,116709410020.7971497,1,1
3,5,30,0,162281533513.7995605,1,1
3,5,30,0,155855991306.1400757,1,1
3,5,30,0,106121612504.8355408,1,1
3,5,30,0,63607411963.34661865,1,0.966667
3,5,30,0,332312190349.0794067,1,0.966667
3,5,40,0,408807666978.2091675,1,1
3,5,40,0,150708613408.0566406,1,1
3,5,40,0,211182888720.0483398,1,1
3,5,40,0,156063140448.7358704,1,0.975
3,5,40,0,2497549699576.241699,0.875,0.8
3,5,40,0,152215537857.5663757,1,1
3,5,40,0,260776667670.9886169,1,0.975
3,5,40,0,132166320565.6949463,1,1
3,5,40,0,310640641094.427124,1,1
3,5,40,0,289666819600.6266479,1,1
3,5,40,0,135086616324.7439728,1,1
3,5,40,0,188643669506.5837708,1,0.95
3,5,40,0,175510395266.4936829,1,1
3,5,40,0,262038253712.7248535,1,1
3,5,40,0,878140666361.380127,1,1
3,5,40,0,141931780995.5978699,1,1
3,5,40,0,230605109477.7761536,1,0.975
3,5,40,0,164871826228.381134,1,0.975
3,5,40,0,163207286655.7044983,1,1
3,5,40,0,370001506331.4980469,1,1
3,5,40,0,218039754066.5856628,1,1
3,5,40,0,158388496764.8024597,1,1
3,5,40,0,238534220184.9015198,1,1
3,5,40,0,189199788311.5578003,1,0.975
3,5,40,0,155438089428.8945007,1,1
3,5,40,0,251810147279.6613159,1,1
3,5,40,0,156867186448.5001526,1,1
3,5,40,0,164483509841.4450378,1,1
3,5,40,0,160551237402.3299255,1,1
3,5,40,0,293064337308.390625,1,1
3,5,40,0,1229084893043.50415,1,1
3,5,40,0,166839124664.6788635,1,1
3,5,40,0,264728805620.1468506,1,1
3,5,40,0,174544524981.4089966,1,1
3,5,40,0,229572237072.9681396,1,1
3,5,40,0,527136223126.2602539,1,1
3,5,40,0,205658120768.9122925,1,1
3,5,40,0,149238745677.9653015,1,1
3,5,40,0,175597003705.678833,1,1
3,5,40,0,364195617495.3274536,1,1
3,5,40,0,155053883752.3906555,1,1
3,5,40,0,264408999549.371582,1,1
3,5,40,0,173178117565.3848877,1,1
3,5,40,0,164110645608.4651489,1,1
3,5,40,0,278984424113.5866089,1,0.95
3,5,40,0,188577586230.7215576,1,1
3,5,40,0,160659227261.6115417,1,1
3,5,40,0,183588977873.5974426,1,1
3,5,40,0,267741869097.37854,1,1
3,5,40,0,210722097694.6297913,1,1
3,5,50,0,6551379749982.461914,0.32,0.32
3,5,50,0,773839198016.5622559,0.26,0.22
3,5,50,0,426816558964.680542,1,0.9
3,5,50,0,796331238524.5772705,0.24,0.22
3,5,50,0,514480421708.3267822,0.74,0.72
3,5,50,0,239497062485.7449036,1,0.94
3,5,50,0,278370316656.4647217,1,0.94
3,5,50,0,274283448920.0591431,1,0.92
3,5,50,0,232645924169.9761963,1,1
3,5,50,0,255495344902.9570618,1,0.96
3,5,50,0,2375591950064.176758,1,0.98
3,5,50,0,626351693023.0198975,0.86,0.84
3,5,50,0,484941289423.5320435,0.8,0.76
3,5,50,0,538594569115.5838623,1,0.92
3,5,50,0,229899294256.1984253,1,0.94
3,5,50,0,346726686574.1036987,1,0.98
3,5,50,0,562809229089.333252,0.58,0.52
3,5,50,0,397189586446.3922729,1,0.94
3,5,50,0,348401424028.3736572,1,0.98
3,5,50,0,216900116151.3409424,1,0.98
3,5,50,0,349589906302.0115967,0.98,0.96
3,5,50,0,370755057645.8617554,1,0.88
3,5,50,0,207924115684.6632385,1,1
3,5,50,0,204658453030.9649048,1,1
3,5,50,0,976523766481.9703369,1,0.96
3,5,50,0,217816544569.2271118,1,0.92
3,5,50,0,674705976311.036499,1,0.94
3,5,50,0,165410352183.183136,1,0.98
3,5,50,0,228924130022.5431824,1,1
3,5,50,0,313941395304.428772,1,0.88
3,5,50,0,379366753053.0717773,1,0.98
3,5,50,0,534549752933.9632568,1,0.96
3,5,50,0,416365720117.753479,1,0.98
3,5,50,0,286059834267.4021606,1,0.9
3,5,50,0,910136592674.2717285,0.88,0.84
3,5,50,0,655524376364.8076172,0.64,0.62
3,5,50,0,181714788477.2577209,1,0.9
3,5,50,0,1899527104037.849121,0.1,0
3,5,50,0,290682678224.8696289,1,0.9
3,5,50,0,185716553449.9633789,1,1
3,5,50,0,772909608252.9641113,0.2,0.16
3,5,50,0,386881924621.5848389,1,1
3,5,50,0,239598054263.6597595,1,0.98
3,5,50,0,382988006183.8365479,1,1
3,5,50,0,533939540445.9086914,1,0.88
3,5,50,0,259756321329.3768616,1,0.94
3,5,50,0,191394545812.9656067,1,1
3,5,50,0,243066564109.5835876,1,1
3,5,50,0,226747386397.9755859,1,0.98
3,5,50,0,280284207268.8950195,1,0.98
3,10,10,0,2595323465529.067383,1,0.8
3,10,10,0,702219597208.2138672,1,0.8
3,10,10,0,561584111935.736084,1,1
3,10,10,0,466286750206.6112671,1,0.9
3,10,10,0,694774108429.2155762,1,0.6
3,10,10,0,724977742723.7095947,1,0.4
3,10,10,0,577666554684.5500488,1,0.9
3,10,10,0,3319486975834.938965,1,0.6
3,10,10,0,615495982144.0872803,1,0.5
3,10,10,0,483026164044.7409058,1,0.2
3,10,10,0,686653068122.4664307,1,0
3,10,10,0,616907512394.6921387,1,0.3
3,10,10,0,665052192127.7142334,1,0.9
3,10,10,0,780118292172.5157471,1,0.9
