Generation, Iteration, Trial, Fitness Value
1,1,1,4.64657e+06
1,9,1,3.31116e+06
1,5,1,4.62599e+06
1,10,1,4.25971e+06
1,7,1,3.98201e+06
1,8,1,3.27952e+06
1,12,1,2.8223e+06
1,4,1,2.61395e+06
1,3,1,4.00161e+06
1,6,1,2.38651e+06
1,2,1,2.76197e+06
1,11,1,1.48374e+06
1,1,2,3.02162e+06
1,10,2,5.28621e+06
1,9,2,3.45785e+06
1,12,2,4.14381e+06
1,8,2,3.9037e+06
1,6,2,3.57533e+06
1,5,2,1.88739e+06
1,3,2,4.40244e+06
1,7,2,2.31594e+06
1,2,2,3.05531e+06
1,11,2,1.75249e+06
1,4,2,2.13427e+06
1,1,3,3.16044e+06
1,9,3,4.10823e+06
1,12,3,3.7541e+06
1,10,3,2.68276e+06
1,8,3,3.87803e+06
1,6,3,2.08264e+06
1,3,3,3.53162e+06
1,5,3,2.96364e+06
1,7,3,3.24867e+06
1,4,3,4.0441e+06
1,11,3,4.11719e+06
1,2,3,2.61938e+06
1,1,4,2.64326e+06
1,12,4,3.20253e+06
1,8,4,2.09676e+06
1,9,4,3.11518e+06
1,11,4,3.90504e+06
1,10,4,2.30531e+06
1,6,4,2.24922e+06
1,7,4,3.73841e+06
1,3,4,4.13868e+06
1,4,4,3.26771e+06
1,5,4,2.57059e+06
1,2,4,3.77151e+06
1,1,5,3.85603e+06
1,12,5,2.80391e+06
1,11,5,3.15766e+06
1,8,5,4.80713e+06
1,5,5,4.52044e+06
1,7,5,3.19518e+06
1,4,5,2.36015e+06
1,10,5,3.79912e+06
1,9,5,4.77449e+06
1,6,5,4.58419e+06
1,3,5,3.29103e+06
1,2,5,790595
1,1,6,3.35417e+06
1,12,6,2.18546e+06
1,11,6,4.22776e+06
1,8,6,4.16479e+06
1,7,6,3.80838e+06
1,5,6,2.45195e+06
1,6,6,2.36744e+06
1,10,6,2.63015e+06
1,4,6,1.5272e+06
1,3,6,3.67035e+06
1,9,6,1.56795e+06
1,2,6,3.0933e+06
1,1,7,3.73464e+06
1,12,7,3.94272e+06
1,7,7,4.13895e+06
1,8,7,3.43771e+06
1,11,7,1.82352e+06
1,6,7,2.4793e+06
1,3,7,2.79387e+06
1,5,7,2.80472e+06
1,4,7,2.13315e+06
1,10,7,4.09557e+06
1,9,7,2.27616e+06
1,2,7,3.94303e+06
1,12,8,3.49073e+06
1,1,8,3.66606e+06
1,8,8,3.11853e+06
1,7,8,2.66919e+06
1,5,8,4.42931e+06
1,11,8,2.33022e+06
1,6,8,4.07495e+06
1,3,8,3.07704e+06
1,4,8,3.3398e+06
1,9,8,2.86174e+06
1,2,8,2.7946e+06
1,10,8,1.832e+06
1,1,9,3.21579e+06
1,12,9,2.74477e+06
1,8,9,2.73994e+06
1,7,9,2.5335e+06
1,11,9,3.29016e+06
1,4,9,3.59675e+06
1,3,9,1.77363e+06
1,6,9,1.6654e+06
1,9,9,5.80169e+06
1,5,9,1.3568e+06
1,2,9,2.21258e+06
1,10,9,1.36939e+06
1,1,10,3.89158e+06
1,12,10,3.49596e+06
1,8,10,2.7683e+06
1,11,10,2.98786e+06
1,7,10,2.02384e+06
1,3,10,3.69352e+06
1,6,10,4.68627e+06
