Generation, Iteration, Trial, Vl_1, Vr_1, Vl_2, Vr_2, Vl_3, Vr_3, Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6, Fitness Value
1,4,1,0.643001,0.626941,0.237903,0.573481,0.0268128,-0.226913,0.286926,0.849505,-0.996224,-0.633742,0.408808,0.988269,4.57764e+06
1,12,1,0.99516,-0.93118,0.508361,0.535101,0.955147,-0.0715286,0.638785,-0.469692,-0.842007,0.392095,0.718748,0.637005,4.1409e+06
1,8,1,0.691046,-0.816722,-0.661821,0.5579,0.646046,-0.354856,-0.197411,0.212423,-0.706786,-0.718053,0.497644,-0.207429,2.51011e+06
1,5,1,0.919453,0.663189,0.997235,-0.0465916,0.626299,-0.756605,-0.908913,0.763161,0.820182,0.868067,0.997728,0.455734,4.01798e+06
1,6,1,0.862706,-0.317379,0.994008,0.437178,0.997515,-0.402248,0.863365,0.992115,-0.522403,-0.176919,0.690652,-0.300941,2.97867e+06
1,3,1,0.829686,0.401115,-0.695848,0.21432,0.546261,0.604484,0.0968568,0.120848,-0.979528,0.0698184,0.0186147,0.996462,3.44964e+06
1,1,1,0.269517,-0.199893,0.876995,0.484239,0.991478,0.233461,0.468234,0.0739425,-0.845403,-0.267757,0.71484,0.739844,3.07241e+06
1,2,1,0.373611,-0.713118,-0.208462,-0.549097,0.621817,0.0510503,0.513217,0.106411,-0.106831,0.813875,0.203034,0.161922,3.66115e+06
1,9,1,-0.445186,0.999062,0.996842,0.2903,0.965226,-0.00985064,-0.490328,0.337272,-0.436996,0.751771,0.999972,-0.158783,3.13305e+06
1,11,1,0.664098,-0.904667,0.121799,-0.724554,0.783571,0.884037,-0.960661,0.259703,-0.702325,0.402742,-0.945794,-0.220353,2.47637e+06
1,10,1,0.997732,-0.637609,0.812507,0.967303,0.198963,-0.37185,-0.753536,-0.190439,-0.546333,-0.0175338,0.251274,-0.41893,2.35134e+06
1,7,1,0.894135,-0.579641,0.974129,0.0536489,0.241147,-0.606297,-0.431239,-0.472626,-0.982838,0.992922,-0.960444,-0.0324815,2.91329e+06
1,14,1,0.769556,0.713844,0.206247,0.725123,0.855245,-0.978737,0.32917,0.590817,-0.511574,0.727919,-0.862424,-0.225358,2.99446e+06
1,13,1,0.435727,-0.56011,0.822901,0.275438,0.591038,-0.297088,0.416862,-0.527526,0.287259,0.968418,0.66896,0.775395,3.1271e+06
1,18,1,-0.955619,-0.114326,0.967762,0.460334,-0.293406,-0.32184,0.151784,0.428361,0.334217,0.650757,-0.998947,-0.934643,4.21269e+06
1,15,1,0.802218,0.258372,0.938114,0.00983008,0.478974,0.993973,-0.997501,0.211375,-0.820399,-0.991203,0.272206,0.461661,2.68542e+06
1,17,1,0.19467,-0.829265,0.428187,-0.207041,0.688883,-0.315948,0.470995,-0.601291,-0.684199,0.3245,0.712244,0.94644,4.70936e+06
1,19,1,0.156775,-0.168423,0.551691,0.186258,-0.0444958,-0.178185,-0.267805,0.664472,-0.267592,0.495135,0.460071,0.975627,3.18944e+06
1,16,1,-0.343464,-0.991624,0.820837,0.964906,0.984166,-0.0572181,-0.326873,0.0744043,-0.664979,0.692545,0.480052,0.391242,2.07646e+06
1,20,1,-0.0956275,0.0770725,0.217806,-0.46626,-0.89386,-0.294356,-0.788891,0.406007,0.0361099,0.16817,-0.597194,0.0615809,2.93969e+06
