SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
55,145,161,9,166,15,214,60,71.6727,80.5964,65.3273,84.4036,201,101,103,138,3.7,104,248,15,193,184,55,87,70,128,82,71,115,177,
55,145,161,9,166,15,214,60,71.6727,80.5964,65.3273,84.4036,201,101,103,138,3.7,104,248,15,193,184,55,87,70,128,82,71,115,177,
55.0148,145.092,160.996,8.996,166.134,15.1348,213.949,60.0316,71.6732,80.5688,65.3488,84.411,200.938,101.004,102.956,137.99,3.8651,104.093,248.052,15.1874,192.712,184.183,54.7629,87.2501,69.8585,128.3,82.0048,70.9706,115.129,177.352,
55.0288,145.183,160.996,8.99515,166.272,15.274,213.899,60.0632,71.6736,80.5395,65.3699,84.4154,200.878,101.009,102.911,137.981,4.02899,104.185,248.103,15.3735,192.425,184.371,54.5276,87.5063,69.7177,128.609,82.0114,70.9495,115.255,177.698,
55.0431,145.279,160.995,8.99352,166.407,15.4085,213.847,60.0955,71.6662,80.5111,65.3832,84.4204,200.818,101.013,102.868,137.972,4.19348,104.278,248.155,15.5583,192.144,184.562,54.3012,87.7596,69.5773,128.928,82.0276,70.9146,115.387,178.058,
55.0562,145.372,161.089,9.15339,166.542,15.5439,213.797,60.1269,71.6511,80.4842,65.3886,84.4264,200.758,101.017,102.823,137.962,4.36328,104.374,248.205,15.7378,191.865,184.758,54.0787,88.015,69.4421,129.248,81.9388,71.061,115.519,178.419,
55.0691,145.468,161.188,9.3186,166.674,15.675,213.745,60.1591,71.6306,80.4584,65.3885,84.4327,200.696,101.021,102.78,137.953,4.53599,104.471,248.257,15.9273,191.56,184.976,53.8536,88.2804,69.3124,129.566,81.8452,71.1909,115.65,178.78,
55.0811,145.564,161.281,9.47625,166.809,15.8102,213.695,60.1901,71.5999,80.4348,65.379,84.4424,200.634,101.025,102.736,137.944,4.70366,104.566,248.309,16.1124,191.249,185.197,53.6369,88.5441,69.1866,129.888,81.7411,71.314,115.782,179.141,
55.0924,145.66,161.38,9.64316,166.943,15.9444,213.644,60.222,71.5626,80.4105,65.3647,84.4536,200.575,101.03,102.693,137.935,4.86846,104.658,248.359,16.2946,190.936,185.419,53.4273,88.8083,69.0687,130.205,81.6194,71.4363,115.914,179.501,
55.1033,145.759,161.48,9.81352,167.078,16.0791,213.592,60.2548,71.5186,80.3871,65.3449,84.467,200.514,101.034,102.649,137.926,5.03495,104.752,248.411,16.4834,190.631,185.636,53.2252,89.0721,68.9593,130.515,81.4879,71.5483,116.041,179.85,
