SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
228,197,95,196,296,199,218,50,201,70,25,172,111,64,148,126,175,65,48,42,3.7,98,69,39,274,171,
228,197,95,196,296,199,218,50,201,70,25,172,111,64,148,126,175,65,48,42,3.7,98,69,39,274,171,
228.034,197,94.9735,196,295.81,199,217.811,50.0002,201.003,70.0001,24.9425,171.999,110.94,64.0014,147.99,126,175.2,65,47.9402,42.0001,4.06358,98.0013,69.3711,39.0008,274.284,170.995,
227.93,196.998,94.9175,196.001,295.621,199.001,217.624,50.0005,200.996,69.9993,24.9026,171.996,110.913,64.003,148.023,125.999,175.387,65,47.8818,42.0003,4.42709,98.0057,69.7453,39.0033,274.565,170.978,
227.912,196.997,94.8138,196.004,295.424,199.002,217.433,50.0009,201.005,70.001,24.8056,171.986,110.792,64.0098,147.981,126,175.578,65,47.8238,42.0006,4.80372,98.0123,70.1096,39.0075,274.842,170.952,
227.857,196.994,94.6991,196.01,295.232,199.003,217.241,50.0014,201.009,70.0021,24.6562,171.969,110.781,64.0104,148.015,125.998,175.768,64.9998,47.7705,42.001,5.1726,98.0196,70.4757,39.0143,275.126,170.914,
227.968,196.997,94.7319,196.008,295.036,199.004,217.046,50.0015,200.831,69.9463,24.7629,171.982,110.751,64.0127,148.065,125.996,175.968,64.9995,47.7161,42.0015,5.54272,98.0282,70.8457,39.0222,275.397,170.868,
227.986,196.997,94.6439,196.015,294.842,199.006,216.847,50.0014,200.654,69.8911,24.8278,171.991,110.831,64.0049,148.073,125.996,176.165,64.9993,47.6645,42.002,5.89897,98.0381,71.2229,39.0302,275.672,170.811,
228.075,196.999,94.6774,196.012,294.654,199.008,216.654,50.0011,200.478,69.8365,24.8003,171.987,110.895,63.9996,148.046,125.996,176.357,64.9995,47.6145,42.0027,6.27131,98.0497,71.5979,39.0395,275.944,170.743,
228.172,197.001,94.6507,196.013,294.46,199.009,216.464,50.0003,200.294,69.7791,24.6261,171.961,110.916,63.9982,147.989,125.993,176.547,65.0001,47.5677,42.0033,6.63495,98.0616,71.9745,39.0499,276.215,170.663,
228.025,197,94.6964,196.012,294.262,199.011,216.272,49.9993,200.105,69.7199,24.6871,171.969,110.888,63.9987,147.874,125.986,176.742,65.0009,47.521,42.004,7.00824,98.074,72.3424,39.0606,276.485,170.572,
227.941,196.999,94.772,196.008,294.078,199.012,216.081,49.9984,199.928,69.6645,24.6156,171.961,110.921,63.9991,147.728,125.976,176.933,65.0017,47.4764,42.0047,7.37003,98.0863,72.7088,39.072,276.755,170.47,
228.05,197.001,94.8035,196.005,293.885,199.013,215.887,49.9977,199.805,69.6249,24.4493,171.939,110.863,63.9977,147.615,125.968,177.124,65.0025,47.4341,42.0054,7.73336,98.0998,73.0757,39.0849,277.021,170.357,
227.978,197,94.8067,196.005,293.691,199.014,215.699,49.9971,199.81,69.6267,24.5422,171.952,110.837,63.9974,147.633,125.969,177.315,65.003,47.3926,42.0061,8.09605,98.1156,73.4406,39.0987,277.276,170.238,
227.863,197.001,94.8054,196.005,293.497,199.014,215.509,49.9966,199.793,69.6189,24.4178,171.934,110.901,63.9969,147.59,125.965,177.502,65.0035,47.3511,42.0068,8.46737,98.1337,73.8067,39.115,277.534,170.105,
227.729,196.998,94.9146,195.987,293.304,199.014,215.32,49.9963,199.625,69.534,24.396,171.931,110.962,63.9971,147.487,125.953,177.693,65.0041,47.3139,42.0076,8.83104,98.1535,74.1744,39.1331,277.776,169.968,
227.716,196.997,95.0172,195.971,293.114,199.015,215.125,49.9956,199.451,69.4469,24.2313,171.897,110.981,63.9977,147.534,125.961,177.885,65.0045,47.276,42.0083,9.19688,98.1751,74.5373,39.153,278.018,169.819,
227.674,196.995,95.0063,195.973,292.921,199.015,214.933,49.9946,199.274,69.3586,24.2037,171.89,110.911,63.9957,147.549,125.963,178.075,65.0047,47.2395,42.0091,9.56179,98.198,74.9073,39.1745,278.252,169.663,
227.652,196.993,95.1476,195.947,292.736,199.015,214.746,49.9933,199.276,69.3595,24.1747,171.884,110.866,63.9957,147.431,125.937,177.986,65.0035,47.2027,42.0099,9.92536,98.2227,75.2743,39.1962,278.481,169.498,
227.612,196.989,95.1502,195.947,292.55,199.014,214.552,49.9918,199.278,69.3611,24.2355,171.896,110.782,63.9966,147.467,125.945,178.064,65.0056,47.1687,42.0106,10.3012,98.2492,75.6514,39.2199,278.702,169.324,
227.572,196.987,95.0927,195.958,292.358,199.014,214.359,49.9901,199.277,69.3599,24.2828,171.906,110.802,63.9966,147.574,125.963,178.023,65.0052,47.1345,42.0114,10.6682,98.2766,76.0128,39.2439,278.916,169.143,
227.529,196.983,94.9811,195.979,292.163,199.013,214.168,49.9878,199.283,69.3655,24.1818,171.883,110.681,63.9996,147.416,125.936,177.984,65.0047,47.1006,42.0122,11.0419,98.3065,76.3819,39.2701,279.127,168.951,
227.642,196.99,94.8827,195.995,291.97,199.013,213.982,49.9853,199.281,69.3639,24.1719,171.881,110.579,64.0008,147.389,125.932,178.002,65.0058,47.0681,42.013,11.4064,98.3376,76.7428,39.298,279.331,168.749,
227.525,196.982,94.7789,196.009,291.778,199.013,213.796,49.9824,199.282,69.3646,24.1153,171.864,110.45,64.0031,147.227,125.907,178.05,65.0096,47.0369,42.0138,11.7796,98.3715,77.1049,39.329,279.528,168.541,
227.456,196.976,94.7506,196.012,291.577,199.012,213.605,49.9795,199.281,69.3635,24.0056,171.833,110.579,64.0003,147.082,125.885,178.005,65.0061,47.0064,42.0146,12.1476,98.4066,77.4767,39.3628,279.718,168.323,
227.443,196.975,94.7582,196.012,291.385,199.012,213.415,49.977,199.179,69.205,24.0971,171.857,110.474,64.0038,147.13,125.893,177.905,64.9944,46.9773,42.0154,12.5195,98.4439,77.8369,39.3975,279.898,168.1,
