Generation, Iteration, Trial, Vl_1, Vr_1, Vl_2, Vr_2, Vl_3, Vr_3, Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6, Fitness Value
1,1,36,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,754219082523265.625
1,1,41,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,554517418357181.875
1,1,1,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,780340506045061.375
1,1,46,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,771738658048997.875
1,1,16,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,919783628349651.625
1,1,6,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,554363713351556.875
1,1,11,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,639511854140102.875
1,1,31,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,833945778920791.875
1,1,21,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,588083903425198.875
1,1,26,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,488145738023542.625
1,1,2,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,703880710120693.75
1,1,42,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,994151801552117.375
1,1,47,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,633725067655061.375
1,1,37,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,554173188909294.75
1,1,7,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,875248626403992.625
1,1,32,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,345869473609569.6875
1,1,22,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,470132986277367.1875
1,1,17,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,563072821375902.125
1,1,12,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,480618405466046.3125
1,1,27,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,716094150815068.625
1,1,3,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,661228375564904.125
1,1,48,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,480090295770540.6875
1,1,33,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,663898006953085
1,1,23,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,524153763760620.375
1,1,8,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,791940489660162.125
1,1,43,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,945711202251131.25
1,1,38,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,795850208103510.375
1,1,18,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,462582161373799.25
1,1,13,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,575570765167609.875
1,1,28,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,689244369945071.375
1,1,49,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,681595985938868.25
1,1,4,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,505183223563602.0625
1,1,44,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,531409327535895
1,1,24,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,710734804132919.75
1,1,9,-0.116241,0.468976,-0.249983,-0.378541,0.204164,-0.181554,-1.09546,-0.0251923,1.07254,0.174048,0.963484,0.144027,631353095578735.125
